SchulNr;Regschl;ABez1;ABez2;ABez3;PLZ;Ort;Strasse;TelVorw;Telefon;FaxVorw;Fax;ModemVorw;Modem;SF;OeffPri;KurzBez;SchBetrSchl;SchBetrSchlDatum;ArtderTraegerschaft;SchultraegerNr;Schulgliederung;Schulart;Ganztagsbetrieb;FSP;Verbund;Bus;Fachberater;FachberHauptamtl;TelNrDBSalt;RP;Email;URL;CD;Stift;OGTS;SELB;Internat;InternatPlaetze;SMail;SportImAbi;Tal;KonKop;KoRe;KoHo
"100010";"315000";"Aufbaugymnasium Claudia Agrippina Privat";"schule als priv.Ersatzsch. d. Sek.I u.II";"im Aufbau d. CAPS Privatschu gGmbH";"50933";"Köln";"Stolberger Str. 112";"0221";"37996433";"0221";"37990671";null;null;"20";"2";"Köln, Gym Claudia Agrippina Aufbaugym.";1;"20160801";"35";"83150";"G01";"";"1";" ";"0";"0";null;null;null;" ";"100010@schule.nrw.de";"http://www.claudia-agrippina-privatschule.de";1;0;"0";"0";"0";0;null;"0";"0";"0";352258;5645500
"100011";"158008";"Städt. Gesamtschule";"Schule d. Sekundarstufe I u. II";"";"42781";"Haan";"Walder Str. 15";"02129";"3754950";"02129";"37545999";null;null;"15";"1";"Haan, GE Walder Straße";1;"20170801";"06";"11435";null;"";"1";" ";"0";"0";null;null;null;" ";"100011@schule.nrw.de";"http://www.gesamtschule-haan.de";1;0;"0";"0";"0";0;null;"0";"0";"0";361466;5673192
"100012";"316000";"Städt. Gemeinschaftsgrundschule";"Am Friedenspark";"- Primarstufe -";"51371";"Leverkusen";"Netzestr. 12";"";"";"";"";null;null;"02";"1";"Leverkusen, GG Am Friedenspark";1;"20170801";"03";"10080";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100012@schule.nrw.de";"";1;0;"1";"0";"0";0;null;"0";"0";"0";356570;5658484
"100014";"916000";"Kolibri-Schule";"Städt. Gemeinschaftsgrundschule";"";"44625";"Herne";"Jean-Vogel-Str. 36";"02323";"163970";"02323";"163981";null;null;"02";"1";"Herne, GG Kolibri-Schule";1;"20170801";"03";"10327";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100014@schule.nrw.de";"http://www.gs-flottmann.de";1;0;"1";"0";"0";0;null;"0";"0";"0";376821;5710073
"100015";"111000";"Städt. Wim-Wenders-Gymnasium";"Sekundarstufe I und II";"";"40227";"Düsseldorf";"Schmiedestr. 25";"0211";"8924260";"0211";"8929604";null;null;"20";"1";"Düsseldorf, Gym Wim-Wenders";1;"20170801";"03";"10042";null;"";"1";" ";"0";"0";null;null;null;" ";"100015@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";346741;5675559
"100016";"334032";"Kupferstädter Gesamtschule";"- Sekundarstufe I und II -";"";"52222";"Stolberg (Rhld.)";"Breslauer Str. 1";"02402";"9975610";"02402";"9975631";null;null;"15";"1";"Stolberg, GE Kupferstädter";1;"20170801";"06";"13420";null;"";"1";" ";"0";"0";null;null;null;" ";"100016@schule.nrw.de";"http://kupferstädter-gesamtschule.de";1;0;"0";"0";"0";0;null;"0";"0";"0";304543;5629274
"100017";"362028";"Städt. Gem. Grundschule";"im Zentrum von Hürth";"- Primarstufe -";"50354";"Hürth";"Bonnstr. 109";"02233";"974420";"02233";"9744215";null;null;"02";"1";"Hürth, GG Bonnstraße";1;"20170801";"06";"12841";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100017@schule.nrw.de";"";1;0;"1";"0";"0";0;null;"0";"0";"0";351089;5638619
"100018";"113000";"Freie Waldorfschule Rudolf Steiner Schu-";"le u. Parzivalsch. m. Heliandzw.,Förder-";"schule,Staatl. genehm.priv. Ersatzschule";"45134";"Essen";"Schellstr. 47";"0201";"435150";"0201";"4351511";null;null;"17";"2";"Essen, FW Schellstraße";1;"19730801";"60";"70610";"";"AS";"1";" ";"1";"0";null;null;null;" ";"100018@schule.nrw.de";"http://www.waldorfschule-essen.de";1;0;"1";"0";"0";0;null;"0";"0";"0";362960;5697806
"100019";"154036";"Joseph Beuys Gesamtschule";"der Stadt Kleve";"- Sekundarstufen I und II -";"47533";"Kleve";"Hoffmannallee 15";"02821";"9977690";"02821";"99776966";null;null;"15";"1";"Kleve, GE Joseph Beuys";1;"20170801";"06";"12087";null;"";"1";" ";"0";"0";null;null;null;" ";"100019@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";302000;5740602
"100020";"111000";"Städt. Kath. Grundschule";"Kartause-Hain-Schule";"- Primarstufe -";"40468";"Düsseldorf";"Unterrather Str. 76";"0211";"4791163";"0211";"4299019";null;null;"02";"1";"Düsseldorf, KG Kartause-Hain-Schule";1;"19730801";"03";"10042";"";"RKB";"0";" ";"0";"0";null;null;null;" ";"100020@schule.nrw.de";"http://www.schulen.duesseldorf.de/gs-unterratherstr";1;0;"1";"0";"0";0;null;"0";"0";"0";345372;5682741
