ASA01_Schulnr;ASA01_Sf;ASA01_Text;geaendert
"100018";"A";"Allgemeinbildender Bereich";
"100018";"S";"Sonderschulbereich";
"152006";"BL";"Schule für Blinde";
"152006";"SH";"Schule für Sehbinderte";
"152353";"KB";"Schule für Körperbehinderte";
"152353";"KR";"Schule für Kranke";
"152377";"GB";"Schule für Geistigbehinderte";
"152377";"LB";"Schule für Lernbehinderte";
"152493";"EZ";"Schule für Erziehungshilfe";
"152493";"LB";"Schule für Lernbehinderte";
"152493";"SB";"Schule für Sprachbehinderte";
"152500";"EZ";"Schule für Erziehungshilfe";
"152500";"LB";"Schule für Lernbehinderte";
"152500";"SB";"Schule für Sprachbehinderte";
"152523";"EZ";"Schule für Erziehungshilfe";
"152523";"GB";"Schule für Geistigbehinderte";
"152535";"EZ";"Schule für Erziehungshilfe";
"152535";"LB";"Schule für Lernbehinderte";
"152535";"SB";"Schule für Sprachbehinderte";
"152547";"KR";"Schule für Kranke";
"152547";"LB";"Schule für Lernbehinderte";
"152614";"EZ";"Schule für Erziehungshilfe";
"152614";"LB";"Schule für Lernbehinderte";
"152614";"SB";"Schule für Sprachbehinderte";
"152821";"EZ";"Schule für Erziehungshilfe";
"152821";"GB";"Schule für Geistigbehinderte";
"152821";"LB";"Schule für Lernbehinderte";
"152821";"SB";"Schule für Sprachbehinderte";
"152833";"EZ";"Schule für Erziehungshilfe";
"152833";"LB";"Schule für Lernbehinderte";
"152833";"SB";"Schule für Sprachbehinderte";
"152936";"S";"Sonderschulbereich";
"153096";"EZ";"Schule für Erziehungshilfe";
"153096";"LB";"Schule für Lernbehinderte";
"153229";"KR";"Schule für Kranke";
"153229";"LB";"Schule für Lernbehinderte";
"153242";"EZ";"Schule für Erziehungshilfe";
"153242";"LB";"Schule für Lernbehinderte";
"153280";"EZ";"Schule für Erziehungshilfe";
"153280";"LB";"Schule für Lernbehinderte";
"153280";"SB";"Schule für Sprachbehinderte";
"153310";"EZ";"Schule für Erziehungshilfe";
"153310";"GB";"Schule für Geistigbehinderte";
"153692";"KR";"Schule für Kranke";
"153692";"LB";"Schule für Lernbehinderte";
"153709";"EZ";"Schule für Erziehungshilfe";
"153709";"LB";"Schule für Lernbehinderte";
"153709";"SB";"Schule für Sprachbehinderte";
"153746";"EZ";"Schule für Erziehungshilfe";
"153746";"LB";"Schule für Lernbehinderte";
"153941";"EZ";"Schule für Erziehungshilfe";
"153941";"LB";"Schule für Lernbehinderte";
"153941";"SB";"Schule für Sprachbehinderte";
"153965";"EZ";"Schule für Erziehungshilfe";
"153965";"LB";"Schule für Lernbehinderte";
"153965";"SB";"Schule für Sprachbehinderte";
"153989";"EZ";"Schule für Erziehungshilfe";
"153989";"LB";"Schule für Lernbehinderte";
"153989";"SB";"Schule für Sprachbehinderte";
"154647";"EZ";"Schule für Erziehungshilfe";
"154647";"LB";"Schule für Lernbehinderte";
"154647";"SB";"Schule für Sprachbehinderte";
"154659";"EZ";"Schule für Erziehungshilfe";
"154659";"LB";"Schule für Lernbehinderte";
"154659";"SB";"Schule für Sprachbehinderte";
"154696";"EZ";"Schule für Erziehungshilfe";
"154696";"LB";"Schule für Lernbehinderte";
"154696";"SB";"Schule für Sprachbehinderte";
"154910";"EZ";"Schule für Erziehungshilfe";
"154910";"LB";"Schule für Lernbehinderte";
"154910";"SB";"Schule für Sprachbehinderte";
"155068";"EZ";"Schule für Erziehungshilfe";
"155068";"LB";"Schule für Lernbehinderte";
"155068";"SB";"Schule für Sprachbehinderte";
"155159";"GH";"Schule für Gehörlose";
"155159";"SG";"Schule für Schwerhörige";
