SNR;SF;ABez1;Strasse;Ort;Auswahl;RegSchl;geaendert
"000000";"**";"kein Eintrag";"****************************************";"****************************************";0;"******";
"980001";"**";"Schule in Schleswig-Holstein";"****************************************";"****************************************";0;"980001";
"980002";"**";"Schule in Hamburg";"****************************************";"****************************************";0;"980002";
"980003";"**";"Schule in Niedersachsen";"****************************************";"****************************************";0;"980003";
"980004";"**";"Schule in Bremen";"****************************************";"****************************************";0;"980004";
"980006";"**";"Schule in Hessen";"****************************************";"****************************************";0;"980006";
"980007";"**";"Schule in Rheinland-Pfalz";"****************************************";"****************************************";0;"980007";
"980008";"**";"Schule in Baden-Württemberg";"****************************************";"****************************************";0;"980008";
"980009";"**";"Schule in Bayern";"****************************************";"****************************************";0;"980009";
"980010";"**";"Schule im Saarland";"****************************************";"****************************************";0;"980010";
"980011";"**";"Schule in Berlin";"****************************************";"****************************************";0;"980011";
"980012";"**";"Schule in Brandenburg";"****************************************";"****************************************";0;"980012";
"980013";"**";"Schule in Mecklenburg-Vorpommern";"****************************************";"****************************************";0;"980013";
"980014";"**";"Schule in Sachsen";"****************************************";"****************************************";0;"980014";
"980015";"**";"Schule in Sachsen-Anhalt";"****************************************";"****************************************";0;"980015";
"980016";"**";"Schule in Thüringen";"****************************************";"****************************************";0;"980016";
"980500";"HU";"Hochschule, Universität";"****************************************";"****************************************";0;"980500";
"980500";"WZ";"Wehrdienst bzw. Zivildienst";"****************************************";"****************************************";0;"980500";
"980500";"XB";"Berufstätigkeit (Besuch d. Fachschule)";"****************************************";"****************************************";0;"980500";
"980500";"XS";"sonstige Schulen bzw. keine Schule";"****************************************";"****************************************";0;"980500";
"980500";"**";"sonstige Schulen bzw. keine Schule";"****************************************";"****************************************";0;"980500";
"991000";"**";"Schule in Belgien";"****************************************";"****************************************";0;"991000";
"992000";"**";"Schule in Luxemburg";"****************************************";"****************************************";0;"992000";
"993000";"**";"Schule in den Niederlanden";"****************************************";"****************************************";0;"993000";
"999000";"**";"Schule im sonstigen Ausland";"****************************************";"****************************************";0;"999000";
"999000";"AS";"Ausländische Schüler, die zugezogen sind";"****************************************";"****************************************";0;"999000";
"999000";"XS";"Zugezogene dt. Schüler aus dem Ausland";"****************************************";"****************************************";0;"999000";
"999500";"UN";"Herkunft noch unbekannt (nur A12, A13)";"****************************************";"****************************************";0;"999500";
