SF;Fach;Beschreibung;geaendert
"BK";"**";"kein Eintrag";
"FW";"**";"kein Eintrag";
"G";"**";"kein Eintrag";
"GE";"**";"kein Eintrag";
"GM";"**";"kein Eintrag";
"GY";"**";"kein Eintrag";
"H";"**";"kein Eintrag";
"PS";"**";"kein Eintrag";
"R";"**";"kein Eintrag";
"S";"**";"kein Eintrag";
"SG";"**";"kein Eintrag";
"SK";"**";"kein Eintrag";
"SR";"**";"kein Eintrag";
"V";"**";"kein Eintrag";
"WB";"**";"kein Eintrag";
"BK";"E";"Englisch";
"G";"E";"Englisch";
"GE";"E";"Englisch";
"GM";"E";"Englisch";
"GY";"E";"Englisch";
"PS";"E";"Englisch";
"R";"E";"Englisch";
"SG";"E";"Englisch";
"SK";"E";"Englisch";
"SR";"E";"Englisch";
"BK";"F";"Französisch";
"G";"F";"Französisch";
"GE";"F";"Französisch";
"GM";"F";"Französisch";
"GY";"F";"Französisch";
"PS";"F";"Französisch";
"R";"F";"Französisch";
"SG";"F";"Französisch";
"SK";"F";"Französisch";
"SR";"F";"Französisch";
"BK";"I";"Italienisch";
"G";"I";"Italienisch";
"GE";"I";"Italienisch";
"GM";"I";"Italienisch";
"GY";"I";"Italienisch";
"PS";"I";"Italienisch";
"R";"I";"Italienisch";
"SG";"I";"Italienisch";
"SK";"I";"Italienisch";
"SR";"I";"Italienisch";
"BK";"N";"Niederländisch";
"G";"N";"Niederländisch";
"GE";"N";"Niederländisch";
"GM";"N";"Niederländisch";
"GY";"N";"Niederländisch";
"PS";"N";"Niederländisch";
"R";"N";"Niederländisch";
"SG";"N";"Niederländisch";
"SK";"N";"Niederländisch";
"SR";"N";"Niederländisch";
"BK";"S";"Spanisch";
"G";"S";"Spanisch";
"GE";"S";"Spanisch";
"GM";"S";"Spanisch";
"GY";"S";"Spanisch";
"PS";"S";"Spanisch";
"R";"S";"Spanisch";
"SG";"S";"Spanisch";
"SK";"S";"Spanisch";
"SR";"S";"Spanisch";
"BK";"T";"Türkisch";
"G";"T";"Türkisch";
"GE";"T";"Türkisch";
"GM";"T";"Türkisch";
"GY";"T";"Türkisch";
"PS";"T";"Türkisch";
"R";"T";"Türkisch";
"SG";"T";"Türkisch";
"SK";"T";"Türkisch";
"SR";"T";"Türkisch";
"BK";"Z";"Neugriechisch";
"G";"Z";"Neugriechisch";
"GE";"Z";"Neugriechisch";
"GM";"Z";"Neugriechisch";
"GY";"Z";"Neugriechisch";
"PS";"Z";"Neugriechisch";
"R";"Z";"Neugriechisch";
"SG";"Z";"Neugriechisch";
"SK";"Z";"Neugriechisch";
"SR";"Z";"Neugriechisch";
