BKIndex;Flag;FKS;AP;BGrp;BFeld;Ebene3;BAKLALT;BAGRALT;Sortierung;Status;Flag_APOBK;Beschreibung;Beschreibung_W;Beschreibung_MW;geaendert;BAKL;BAGR;Ebene1;Ebene2
990;"1";"***";"**";"*";"**";"**";"**";"****";980;"********************";"1";"Kein Eintrag";"Kein Eintrag";"Kein Eintrag";;"*****";"********";"**";"**"
10;"1";"101";"00";"T";"MT";"A4";"25";"2500";10;"********************";"1";"Anlagenmechaniker";"Anlagenmechanikerin";"Anlagenmechaniker/-in";;"*****";"3434201";"TN";"**"
10;"3";"102";"00";"O";"OH";"**";"85";"8561";10;"Ausgelaufen";"1";"Arzthelfer";"Arzthelferin";"Arzthelfer/-in";;"*****";"8110202";"**";"**"
10;"1";"103";"00";"O";"OH";"A3";"48";"4826";10;"********************";"1";"Asphaltbauer";"Asphaltbauerin";"Asphaltbauer/-in";;"*****";"3222201";"TN";"**"
10;"3";"104";"00";"W";"WV";"**";"82";"8232";10;"Ausgelaufen";"1";"Assistent an Bibliotheken";"Assistentin an Bibliotheken";"Assistent/-in an Bibliotheken";;"*****";"7332202";"**";"**"
10;"3";"105";"00";"O";"OH";"**";"08";"0805";10;"Ausgelaufen";"1";"Aufbereitungsmechaniker";"Aufbereitungsmechanikerin";"Aufbereitungsmechaniker/-in";;"*****";"2121202";"**";"**"
10;"1";"106";"00";"O";"OH";"A3";"30";"3041";10;"********************";"1";"Augenoptiker";"Augenoptikerin";"Augenoptiker/-in";;"*****";"8252201";"TN";"**"
10;"3";"107";"00";"T";"BT";"**";"48";"4801";10;"Ausgelaufen";"1";"Ausbaufacharbeiter";"Ausbaufacharbeiterin";"Ausbaufacharbeiter/-in";;"*****";"3330201";"**";"**"
10;"1";"108";"00";"O";"OH";"A3";"67";"6712";10;"********************";"1";"Automobilkaufmann";"Automobilkauffrau";"Automobilkaufmann/-frau";;"*****";"6227201";"WV";"**"
10;"3";"109";"00";"T";"MT";"**";"28";"2810";10;"Ausgelaufen";"1";"Automobilmechaniker";"Automobilmechanikerin";"Automobilmechaniker/-in";;"*****";"2521216";"**";"**"
10;"1";"110";"00";"E";"EH";"A3";"39";"3910";10;"********************";"1";"Bäcker";"Bäckerin";"Bäcker/-in";;"*****";"2922201";"EH";"**"
10;"3";"111";"00";"T";"BT";"**";"44";"4414";10;"Ausgelaufen";"1";"Backofenbauer";"Backofenbauerin";"Backofenbauer/-in";;"*****";"3422203";"**";"**"
10;"3";"112";"00";"T";"TB";"**";"30";"3072";10;"Ausgelaufen";"1";"Bandagist";"Bandagistin";"Bandagist/-in";;"*****";"8251202";"**";"**"
10;"1";"113";"00";"W";"WV";"A3";"69";"6910";10;"********************";"1";"Bankkaufmann";"Bankkauffrau";"Bankkaufmann/-frau";;"*****";"7211201";"WV";"**"
10;"1";"114";"00";"O";"OH";"A3";"54";"5460";10;"********************";"1";"Baugeräteführer";"Baugeräteführerin";"Baugeräteführer/-in";;"*****";"5252201";"TN";"**"
10;"2";"115";"00";"T";"BT";"A3";"63";"6336";10;"********************";"1";"Baustoffprüfer";"Baustoffprüferin";"Baustoffprüfer/-in";;"*****";"4143201";"TN";"**"
10;"1";"116";"00";"T";"BT";"A3";"48";"4825";10;"********************";"1";"Bauwerksabdichter";"Bauwerksabdichterin";"Bauwerksabdichter/-in";;"*****";"3323201";"TN";"**"
10;"1";"117";"00";"T";"BT";"A3";"64";"6420";10;"********************";"1";"Bauzeichner";"Bauzeichnerin";"Bauzeichner/-in";;"*****";"2721201";"TN";"**"
10;"1";"118";"00";"T";"MT";"A4";"25";"2520";10;"********************";"1";"Behälter- und Apparatebauer";"Behälter- und Apparatebauerin";"Behälter- und Apparatebauer/-in";;"*****";"3434203";"TN";"**"
10;"3";"119";"00";"T";"TB";"**";"35";"3522";10;"Ausgelaufen";"1";"Bekleidungsfertiger";"Bekleidungsfertigerin";"Bekleidungsfertiger/-in";;"*****";"2822215";"**";"**"
10;"3";"120";"00";"T";"TB";"**";"35";"3522";10;"Ausgelaufen";"1";"Bekleidungsnäher";"Bekleidungsnäherin";"Bekleidungsnäher/-in";;"*****";"2822215";"**";"**"
10;"3";"121";"00";"T";"TB";"**";"35";"3511";10;"Ausgelaufen";"1";"Bekleidungsschneider";"Bekleidungsschneiderin";"Bekleidungsschneider/-in";;"*****";"2822216";"**";"**"
10;"3";"123";"00";"T";"MT";"**";"07";"0701";10;"Ausgelaufen";"1";"Bergmechaniker";"Bergmechanikerin";"Bergmechaniker/-in";;"*****";"2111204";"**";"**"
10;"3";"124";"00";"O";"OH";"**";"62";"6246";10;"Ausgelaufen";"1";"Bergvermessungstechniker";"Bergvermessungstechnikerin";"Bergvermessungstechniker/-in";;"*****";"3121204";"**";"**"
10;"1";"125";"00";"O";"OH";"A3";"71";"7140";10;"********************";"1";"Berufskraftfahrer";"Berufskraftfahrerin";"Berufskraftfahrer/-in";;"*****";"5212201";"TN";"**"
10;"1";"126";"00";"T";"BT";"A3";"44";"4420";10;"********************";"1";"Beton- und Stahlbetonbauer";"Beton- und Stahlbetonbauerin";"Beton- und Stahlbetonbauer/-in";;"*****";"3211201";"TN";"**"
10;"1";"127";"00";"O";"OH";"A3";"11";"1121";10;"********************";"1";"Betonfertigteilbauer";"Betonfertigteilbauerin";"Betonfertigteilbauer/-in";;"*****";"2122201";"TN";"**"
10;"3";"128";"00";"T";"BT";"**";"11";"1121";10;"Ausgelaufen";"1";"Betonstein- u. Terrazzohersteller";"Betonstein- u. Terrazzoherstellerin";"Betonstein- u. Terrazzohersteller/-in";;"*****";"2122202";"**";"**"
10;"1";"129";"00";"O";"OH";"A3";"72";"7240";10;"********************";"1";"Binnenschiffer";"Binnenschifferin";"Binnenschiffer/-in";;"*****";"5242201";"TN";"**"
10;"1";"130";"00";"T";"CP";"A4";"63";"6311";10;"********************";"1";"Biologielaborant";"Biologielaborantin";"Biologielaborant/-in";;"*****";"4121201";"TN";"**"
10;"1";"131";"00";"O";"OH";"A3";"30";"3093";10;"********************";"1";"Biologiemodellmacher";"Biologiemodellmacherin";"Biologiemodellmacher/-in";;"*****";"2723201";"TN";"**"
10;"1";"132";"00";"O";"OH";"A3";"30";"3054";10;"********************";"1";"Bogenmacher";"Bogenmacherin";"Bogenmacher/-in";;"*****";"9361201";"TN";"**"
10;"3";"133";"00";"T";"MT";"**";"22";"2240";10;"Ausgelaufen";"1";"Bohrer";"Bohrerin";"Bohrer/-in";;"*****";"2423202";"**";"**"
10;"3";"134";"00";"O";"OH";"**";"50";"5063";10;"Ausgelaufen";"1";"Bootsbauer";"Bootsbauerin";"Bootsbauer/-in";;"*****";"3332202";"**";"**"
10;"1";"135";"00";"T";"HT";"A3";"50";"5062";10;"********************";"1";"Böttcher";"Böttcherin";"Böttcher/-in";;"*****";"2238201";"OZ";"**"
10;"1";"136";"00";"O";"OH";"A3";"42";"4210";10;"********************";"1";"Brauer und Mälzer";"Brauerin und Mälzerin";"Brauer/-in und Mälzer/-in";;"*****";"2911201";"EV";"**"
