GemKZ;Sortierung;Bezeichnung;geaendert
"05111000";1;"Düsseldorf";
"05112000";1;"Duisburg";
"05113000";1;"Essen";
"05114000";1;"Krefeld";
"05116000";1;"Mönchengladbach";
"05117000";1;"Mülheim";
"05119000";1;"Oberhausen";
"05120000";1;"Remscheid";
"05122000";1;"Solingen";
"05124000";1;"Wuppertal";
"05154004";1;"Bedburg-Hau";
"05154008";1;"Emmerich am Rhein";
"05154012";1;"Geldern";
"05154016";1;"Goch";
"05154020";1;"Issum";
"05154024";1;"Kalkar";
"05154028";1;"Kerken";
"05154032";1;"Kevelaer";
"05154036";1;"Kleve";
"05154040";1;"Kranenburg";
"05154044";1;"Rees";
"05154048";1;"Rheurdt";
"05154052";1;"Straelen";
"05154056";1;"Uedem";
"05154060";1;"Wachtendonk";
"05154064";1;"Weeze";
"05158004";1;"Erkrath";
"05158008";1;"Haan";
"05158012";1;"Heiligenhaus";
"05158016";1;"Hilden";
"05158020";1;"Langenfeld";
"05158024";1;"Mettmann";
"05158026";1;"Monheim";
"05158028";1;"Ratingen";
"05158032";1;"Velbert";
"05158036";1;"Wülfrath";
"05162004";1;"Dormagen";
"05162008";1;"Grevenbroich";
"05162012";1;"Jüchen";
"05162016";1;"Kaarst";
"05162020";1;"Korschenbroich";
"05162022";1;"Meerbusch";
"05162024";1;"Neuss";
"05162028";1;"Rommerskirchen";
"05166004";1;"Brüggen";
"05166008";1;"Grefrath";
"05166012";1;"Kempen";
"05166016";1;"Nettetal";
"05166020";1;"Niederkrüchten";
"05166024";1;"Schwalmtal";
"05166028";1;"Tönisvorst ";
"05166032";1;"Viersen";
"05166036";1;"Willich";
"05170004";1;"Alpen";
"05170008";1;"Dinslaken";
"05170012";1;"Hamminkeln";
"05170016";1;"Hünxe";
"05170020";1;"Kamp-Lintfort";
"05170024";1;"Moers";
"05170028";1;"Neukirchen-Vluyn";
"05170032";1;"Rheinberg";
"05170036";1;"Schermbeck";
"05170040";1;"Sonsbeck";
"05170044";1;"Voerde";
"05170048";1;"Wesel";
"05170052";1;"Xanten";
"05314000";1;"Bonn ";
"05315000";1;"Köln";
"05316000";1;"Leverkusen";
"05334002";1;"Aachen";
"05334004";1;"Alsdorf";
"05334008";1;"Baesweiler";
"05334012";1;"Eschweiler";
"05334016";1;"Herzogenrath";
"05334020";1;"Monschau";
"05334024";1;"Roetgen";
"05334028";1;"Simmerath";
"05334032";1;"Stolberg";
"05334036";1;"Würselen";
"05358004";1;"Aldenhoven";
"05358008";1;"Düren";
"05358012";1;"Heimbach";
"05358016";1;"Hürtgenwald";
"05358020";1;"Inden";
"05358024";1;"Jülich";
"05358028";1;"Kreuzau";
"05358032";1;"Langerwehe";
"05358036";1;"Linnich";
"05358040";1;"Merzenich";
"05358044";1;"Nideggen";
"05358048";1;"Niederzier";
"05358052";1;"Nörvenich";
"05358056";1;"Titz";
"05358060";1;"Vettweiss";
"05362004";1;"Bedburg";
"05362008";1;"Bergheim";
"05362012";1;"Brühl";
"05362016";1;"Elsdorf";
"05362020";1;"Erftstadt";
"05362024";1;"Frechen";
"05362028";1;"Hürth";
"05362032";1;"Kerpen";
