Schluessel;Staat_Gebiet;Bemerkung;Sortierung;geaendert
"150";"Kosovo";"****************************************************************************************************";0;
"599";"Adelieland/Adelieküste (Französische Süd- und Antarktisgebiete)";"französisch abhängiges Gebiet";10;
"423";"Afghanistan";"****************************************************************************************************";20;
"287";"Ägypten";"****************************************************************************************************";30;
"128";"Aland (zu Finnland)";"****************************************************************************************************";40;
"121";"Albanien";"****************************************************************************************************";50;
"221";"Algerien";"****************************************************************************************************";60;
"299";"Alhucemas";"spanisch abhängiges Gebiet";70;
"599";"Amerikanisch Ozeanien";"amerikanisch abhängiges Gebiet";80;
"599";"Amerikanisch Samoa (Amerikanisch Ozeanien)";"amerikanisch abhängiges Gebiet";90;
"399";"Amerikanische Jungferninseln";"amerikanisch abhängiges Gebiet";100;
"271";"Amiranten (zu Seychellen)";"****************************************************************************************************";110;
"599";"Amsterdam/Neuamsterdam (Französische Süd- und Antarktisgebiete)";"französisch abhängiges Gebiet";120;
"123";"Andorra";"****************************************************************************************************";130;
"223";"Angola";"****************************************************************************************************";140;
"395";"Anguilla";"britisch abhängiges Gebiet";150;
"320";"Antigua und Barbuda";"****************************************************************************************************";160;
"274";"Äquatorialguinea";"****************************************************************************************************";170;
"469";"Arabische Emirate, Vereinigte";"****************************************************************************************************";180;
"323";"Argentinien";"****************************************************************************************************";190;
"422";"Armenien";"****************************************************************************************************";200;
"399";"Aruba";"niederländisch abhängiges Gebiet";210;
"295";"Ascension";"britisch abhängiges Gebiet";220;
"425";"Aserbaidschan";"****************************************************************************************************";230;
"599";"Ashmore- und Cartierinseln";"australisch abhängiges Gebiet";240;
"225";"Äthiopien";"****************************************************************************************************";250;
"523";"Australien";"****************************************************************************************************";260;
"599";"Australinseln (Französisch-Polynesien)";"französisch abhängiges Gebiet";270;
"599";"Australisches Antarktis-Territorium";"australisch abhängiges Gebiet";280;
"153";"Azoren (zu Portugal)";"****************************************************************************************************";290;
"324";"Bahamas";"****************************************************************************************************";300;
"424";"Bahrain";"****************************************************************************************************";310;
