SF;HSF;Beschreibung;Flag;geaendert
"BK";"A01";"Berufsschule, Fachklassen (Teilzeit)";"1";
"SB";"A01";"Berufsschule, Fachklassen (Teilzeit)";"1";
"BK";"A02";"Berufsschule, Fachklassen/Fachhochschulreife (Teilzeit)";"1";
"SB";"A02";"Berufsschule, Fachklassen/Fachhochschulreife (Teilzeit)";"1";
"BK";"A03";"Berufsschule, Fachklassen/erweiterte Zusatzqualifikation (Teilzeit)";"1";
"SB";"A03";"Berufsschule, Fachklassen/erweiterte Zusatzqualifikation (Teilzeit)";"1";
"BK";"A04";"Berufsschule, Fachklassen mit erweitertem Stützunterricht (Teilzeit)";"1";
"SB";"A04";"Berufsschule, Fachklassen mit erweitertem Stützunterricht (Teilzeit)";"1";
"BK";"A12";"Berufsschule, Ausbildungsvorbereitung (1-jährig, Vollzeit)";"1";
"SB";"A12";"Berufsschule, Ausbildungsvorbereitung (1-jährig, Vollzeit)";"1";
"BK";"A13";"Berufsschule, Ausbildungsvorbereitung (1-jährig, Teilzeit)";"1";
"SB";"A13";"Berufsschule, Ausbildungsvorbereitung (1-jährig, (Teilzeit)";"1";
"BK";"A14";"Berufsabschluss (nach §50 BBiG/§40 HwO)/Mittlerer Schulabschluss";"1";
"SB";"A14";"Berufsabschluss (nach §50 BBiG/§40 HwO)/Mittlerer Schulabschluss";"1";
"BK";"A15";"Berufsabschluss (nach §50 BBiG/§40 HwO)/Fachhochschulreife";"1";
"BK";"A16";"Fachklassen (nach §2 BKAZVO)";"1";
"SB";"A16";"Fachklassen (nach §2 BKAZVO)";"1";
"WB";"AG";"Weiterbildungskolleg: Abendgymnasium";"1";
"WB";"AR";"Weiterbildungskolleg: Abendrealschule";"1";
"BK";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"FW";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"G";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"GE";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"GY";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"H";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"PS";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"R";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"S";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"SB";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"SG";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"SK";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"SR";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"V";"AS";"Ausländische Schüler/-innen, die aus dem Ausland zugezogen sind";"1";
"WB";"AS";"Ausländische Studierende, die aus dem Ausland zugezogen sind";"1";
"BK";"B06";"Berufsfachschule, Berufliche Kenntnisse/Erweiterter Erster Schulabschluss (1-jährig, Vollzeit)";"1";
"SB";"B06";"Berufsfachschule, Berufliche Kenntnisse/Erweiterter Erster Schulabschluss (1-jährig, Vollzeit)";"1";
"BK";"B07";"Berufsfachschule, Berufliche Kenntnisse/Mittlerer Schulabschluss (1-jährig, Vollzeit)";"1";
"SB";"B07";"Berufsfachschule, Berufliche Kenntnisse/Mittlerer Schulabschluss (1-jährig, Vollzeit)";"1";
"BK";"B08";"Berufsfachschule, Berufsabschluss/Erweiterter Erster Schulabschluss oder Mittlerer Schulabschluss (2-jährig, Vollzeit)";"1";
"SB";"B08";"Berufsfachschule, Berufsabschluss//Erweiterter Erster Schulabschluss oder Mittlerer Schulabschluss (2-jährig, Vollzeit)";"1";
"BK";"B09";"Berufsfachschule, Berufsabschluss/Erweiterter Erster Schulabschluss oder Mittlerer Schulabschluss (3-jährig, Teilzeit)";"1";
"SB";"B09";"Berufsfachschule, Berufsabschluss//Erweiterter Erster Schulabschluss oder Mittlerer Schulabschluss (3-jährig, Teilzeit)";"1";
"BK";"B10";"Berufsfachschule, Berufsabschluss/Erweiterter Erster Schulabschluss oder Mittlerer Schulabschluss (4-jährig, Teilzeit)";"1";
"SB";"B10";"Berufsfachschule, Berufsabschluss//Erweiterter Erster Schulabschluss oder Mittlerer Schulabschluss (4-jährig, Teilzeit)";"1";
"WB";"BF";"Berufskolleg: Berufsfachschule";"1";
"FW";"BK";"Berufskolleg";"1";
"GE";"BK";"Berufskolleg";"1";
"GY";"BK";"Berufskolleg";"1";
"SG";"BK";"Berufskolleg";"1";
"WB";"BS";"Berufskolleg: Berufsschule";"1";
"WB";"BY";"Berufskolleg: Berufliches Gymnasium";"1";
"BK";"C01";"Berufsfachschule, Berufsabschluss/Fachhochschulreife (ohne Berufspraktikum, 3-jährig, Vollzeit)";"1";
"SB";"C01";"Berufsfachschule, Berufsabschluss/Fachhochschulreife (ohne Berufspraktikum, 3-jährig, Vollzeit)";"1";
"BK";"C02";"Berufsfachschule, Berufsabschluss (2-jährig, Vollzeit)";"1";
"SB";"C02";"Berufsfachschule, Berufsabschluss (2-jährig, Vollzeit)";"1";
"BK";"C03";"Berufsfachschule, Berufliche Kenntnisse/FHR (HBFS) (2-jährig, Vollzeit)";"1";
"SB";"C03";"Berufsfachschule, Berufliche Kenntnisse/FHR (HBFS) (2-jährig, Vollzeit)";"1";
"BK";"C05";"Fachoberschule, Fachoberschule Kl. 11 (1-jährig, Teilzeit)";"1";
