ID;Kurztext;Langtext;Beginn;Ende;Sort;geaendert
78;"32";"Textiltechnik";2010-08-01T00:00;null;null;
79;"57";"Mediendesign und Designtechnik";2010-08-01T00:00;null;null;
80;"58";"Druck- und Medientechnik";2010-08-01T00:00;null;null;
81;"59";"Farbtechnik/Raumgestaltung/Oberflächentechnik";2010-08-01T00:00;null;null;
82;"68";"Lebensmitteltechnik";2010-08-01T00:00;null;null;
88;"6A";"Sektorales Management mit dem Profil: Verwaltung und Rechtswesen";2010-08-01T00:00;null;null;
89;"6B";"Sektorales Management mit dem Profil: Medien";2010-08-01T00:00;null;null;
90;"6C";"Sektorales Management mit dem Profil: Gesundheitsökonomie";2010-08-01T00:00;null;null;
91;"6D";"Sektorales Management mit dem Profil: Freizeitökonomie";2010-08-01T00:00;null;null;
92;"6E";"Sektorales Management mit dem Profil: Tourismus und Gastronomie";2010-08-01T00:00;null;null;
93;"6F";"Produktion, Logistik, Absatz mit dem Profil: Produktionswirtschaft";2010-08-01T00:00;null;null;
94;"6G";"Produktion, Logistik, Absatz mit dem Profil: Verkehr und Logistik";2010-08-01T00:00;null;null;
95;"6H";"Produktion, Logistik, Absatz mit dem Profil: Marketing/Handel";2010-08-01T00:00;null;null;
96;"6I";"Finanz- und Rechnungswesen mit dem Profil: Steuerung und Dokumentation";2010-08-01T00:00;null;null;
97;"6J";"Finanz- und Rechnungswesen mit dem Profil: Finanzdienstleistungen";2010-08-01T00:00;null;null;
98;"6K";"Finanz- und Rechnungswesen mit dem Profil: Steuern";2010-08-01T00:00;null;null;
106;"82";"Medizintechnik";2022-08-01T00:00;null;null;
83;"86";"Gesundheitswissenschaft/Pflege";2010-08-01T00:00;null;null;
84;"93";"Agrarwissenschaft";2010-08-01T00:00;null;null;
107;"AO";"Augenoptik";2022-08-01T00:00;null;null;
86;"AU";"Automatisierungstechnik";2010-08-01T00:00;null;null;
101;"GA";"Gartenbau";2010-08-01T00:00;null;null;
102;"GL";"Garten- Landschaftsbau";2010-08-01T00:00;null;null;
100;"GZ";"Gastronomie";2010-08-01T00:00;null;null;
111;"HA";"Hörakustik";2022-08-01T00:00;null;null;
110;"IG";"Ingenieurtechnik";2022-08-01T00:00;null;null;
85;"IT";"Informationstechnik";2010-08-01T00:00;null;null;
105;"NU";"Natur- und Umweltschutz";2010-08-01T00:00;null;null;
108;"OT";"Orthopädietechnik";2022-08-01T00:00;null;null;
103;"PB";"Pflanzenbau";2010-08-01T00:00;null;null;
99;"PK";"Politik";2010-08-01T00:00;null;null;
104;"TH";"Tierhaltung";2010-08-01T00:00;null;null;
87;"VE";"Vermessungstechnik";2010-08-01T00:00;null;null;
109;"ZT";"Zahntechnik";2022-08-01T00:00;null;null;
55;"AS";"Absatz und Marketing";1900-01-01T00:00;null;100;
10;"23";"Architektur";1900-01-01T00:00;null;200;
67;"BB";"Bankbetriebslehre";1900-01-01T00:00;null;300;
43;"BK";"Banken, Bankbetriebslehre / Finanzwirtschaft";1900-01-01T00:00;null;400;
8;"21";"Bautechnik, Bauingenieurwesen";1900-01-01T00:00;null;500;
4;"08";"Bergtechnik, Bergbau";1900-01-01T00:00;null;600;
56;"BS";"Betriebswirtschaftliche Finanzierungslehre";1900-01-01T00:00;null;700;
68;"BW";"Betriebswirtschaftliche Steuerlehre";1900-01-01T00:00;null;800;
49;"ST";"Betriebswirtschaftliche Steuerlehre / Revisions- und Treuhandwesen";1900-01-01T00:00;null;900;
13;"41";"Chemie- / Verfahrens- / Chemotechnik";1900-01-01T00:00;null;1000;
33;"51";"Drucktechnik, Reproduktionstechnik";1900-01-01T00:00;null;1100;
6;"11";"Elektrotechnik: Energietechnik";1900-01-01T00:00;null;1200;
7;"12";"Elektrotechnik: Nachrichtentechnik";1900-01-01T00:00;null;1300;
71;"ES";"Emotionale und soziale Entwicklung";1900-01-01T00:00;null;1400;
62;"13";"Energietechnik";1900-01-01T00:00;null;1500;
38;"ET";"Energietechnik (spez. Fachrichtung)";1900-01-01T00:00;null;1600;
18;"66";"Ernährungswissenschaft";1900-01-01T00:00;null;1700;
24;"BL";"Fachrichtung für Sondererziehung und Rehabilitation der Blinden";1900-01-01T00:00;null;1800;
25;"EZ";"Fachrichtung für Sondererziehung und Rehabilitation der Erziehungsschwierigen";1900-01-01T00:00;null;1900;
27;"GH";"Fachrichtung für Sondererziehung und Rehabilitation der Gehörlosen";1900-01-01T00:00;null;2000;
26;"GB";"Fachrichtung für Sondererziehung und Rehabilitation der Geistigbehinderten";1900-01-01T00:00;null;2100;
28;"KB";"Fachrichtung für Sondererziehung und Rehabilitation der Körperbehinderten";1900-01-01T00:00;null;2200;
29;"LB";"Fachrichtung für Sondererziehung und Rehabilitation der Lernbehinderten";1900-01-01T00:00;null;2300;
31;"SG";"Fachrichtung für Sondererziehung und Rehabilitation der Schwerhörigen";1900-01-01T00:00;null;2400;
32;"SH";"Fachrichtung für Sondererziehung und Rehabilitation der Sehbehinderten";1900-01-01T00:00;null;2500;
30;"SB";"Fachrichtung für Sondererziehung und Rehabilitation der Sprachbehinderten";1900-01-01T00:00;null;2600;
35;"KT";"Fahrzeugtechnik (spez. Fachrichtung)";1900-01-01T00:00;null;2700;
15;"55";"Farb- u. Raumgestaltung, Gestaltungstechnik, Malerei, Graphik, Design, Fotografie, Glas- und Keramiktechnik";1900-01-01T00:00;null;2800;
60;"06";"Fertigungstechnik";1900-01-01T00:00;null;2900;
34;"FT";"Fertigungstechnik (spez. Fachrichtung)";1900-01-01T00:00;null;3000;
23;"92";"Gartenbauwissenschaft";1900-01-01T00:00;null;3100;
72;"GG";"Geistige Entwicklung";1900-01-01T00:00;null;3200;
58;"81";"Gesundheit";1900-01-01T00:00;null;3300;
44;"HB";"Handel, Handelsbetriebslehre / Absatzwirtschaft";1900-01-01T00:00;null;3400;
17;"65";"Hauswirtschaftswissenschaft";1900-01-01T00:00;null;3500;
40;"HC";"Hochbau (spez. Fachrichtung)";1900-01-01T00:00;null;3600;
63;"24";"Hochbautechnik";1900-01-01T00:00;null;3700;
9;"22";"Holztechnik";1900-01-01T00:00;null;3800;
41;"HT";"Holztechnik (spez. Fachrichtung)";1900-01-01T00:00;null;3900;
73;"HK";"Hören und Kommunikation";1900-01-01T00:00;null;4000;
5;"09";"Hütten-, Gießereiwesen";1900-01-01T00:00;null;4100;
45;"IB";"Industrie, Industriebetriebslehre / Produktionswirtschaft";1900-01-01T00:00;null;4200;
12;"35";"Informatik";1900-01-01T00:00;null;4300;
74;"KM";"Körperliche und motorische Entwicklung";1900-01-01T00:00;null;4400;
21;"80";"Körperpflege / Biotechnik";1900-01-01T00:00;null;4500;
1;"03";"Kraftfahrzeugtechnik";1900-01-01T00:00;null;4600;
22;"91";"Landbauwissenschaft, Agrarwissenschaft, Agrarwirtschaft";1900-01-01T00:00;null;4700;
14;"42";"Lebensmittelchemie";1900-01-01T00:00;null;4800;
66;"67";"Lebensmitteltechnologie";1900-01-01T00:00;null;4900;
53;"LT";"Lebensmitteltechnologie (spez. Fachrichtung)";1900-01-01T00:00;null;5000;
75;"LE";"Lernen";1900-01-01T00:00;null;5100;
59;"02";"Maschinenbautechnik";1900-01-01T00:00;null;5200;
2;"04";"Metalltechnik, Maschinenbau (außer Kfz), Verfahrens-, Fertigungstechnik";1900-01-01T00:00;null;5300;
39;"NT";"Nachrichtentechnik (spez. Fachrichtung)";1900-01-01T00:00;null;5400;
48;"OL";"Organisation und Bürokommunikation / Datenverarbeitung / Organisationslehre / Betriebsinformatik";1900-01-01T00:00;null;5500;
69;"PW";"Personalwirtschaft";1900-01-01T00:00;null;5600;
20;"71";"Psychologie";1900-01-01T00:00;null;5700;
3;"05";"Sanitär-, Heizungs-, Klima-, Lüftungstechnik";1900-01-01T00:00;null;5800;
77;"SE";"Sehen";1900-01-01T00:00;null;5900;
54;"99";"Sonstige Fachrichtung";1900-01-01T00:00;null;6000;
