ID;Kurztext;Langtext;Beginn;Ende;Sort;geaendert
1;"00";"für die Primarstufe";1900-01-01T00:00;null;100;
2;"01";"an der Grund- und Hauptschule (Stufenschwerpunkt I)";1900-01-01T00:00;null;200;
3;"02";"an der Grund- und Hauptschule (Stufenschwerpunkt II)";1900-01-01T00:00;null;300;
4;"03";"an der Volksschule";1900-01-01T00:00;null;400;
5;"09";"für Sonderpädagogik";1900-01-01T00:00;null;500;
6;"10";"an Sonderschulen";1900-01-01T00:00;null;600;
7;"11";"für Sonderpädagogik und die Primarstufe";1900-01-01T00:00;null;700;
8;"12";"für Sonderpädagogik und die Sekundarstufe I";1900-01-01T00:00;null;800;
9;"14";"Sonderpädagogik LPO 03";1900-01-01T00:00;null;900;
10;"15";"Grund-, Haupt- u. Realschule u. entspr. Jahrg.stufen d. Gesamtschule -Schwerp.- Grundschule";1900-01-01T00:00;null;1000;
11;"16";"Grund-, Haupt- u. Realschule u. entspr. Jahrg.stufen d. Gesamtsch. -Schwerp.- H/R/Gesamtsch.";1900-01-01T00:00;null;1100;
45;"18";"Haupt-, Real-, Sekundar- und Gesamtschule";2019-08-01T00:00;null;1150;
12;"19";"für die Sekundarstufe I und die Primarstufe";1900-01-01T00:00;null;1200;
13;"20";"für die Sekundarstufe I";1900-01-01T00:00;null;1300;
14;"21";"an der Realschule";1900-01-01T00:00;null;1400;
15;"24";"für die Sekundarstufe II und die Sekundarstufe I";1900-01-01T00:00;null;1500;
16;"25";"am Gymnasium";1900-01-01T00:00;null;1600;
17;"27";"Gymnasium und Gesamtschule";1900-01-01T00:00;null;1700;
18;"29";"für die Sekundarstufe II (ohne berufliche Fachrichtung)";1900-01-01T00:00;null;1800;
19;"30";"an berufsbildenden Schulen (alle Lehrer mit 2. Staatsprüfung oder erworbener Anstellungsfähigkeit)";1900-01-01T00:00;null;1900;
20;"31";"für die Sekundarstufe II und Sonderpädagogik";1900-01-01T00:00;null;2000;
21;"32";"für die Sekundarstufe II (mit beruflicher Fachrichtung)";1900-01-01T00:00;null;2100;
22;"35";"Berufskolleg";1900-01-01T00:00;null;2200;
46;"49";"Berufskolleg mit einer beruflichen Fachrichtung (§ 59 LVO)";2019-08-01T00:00;null;2250;
23;"40";"Fachhochschullehrer/-in";1900-01-01T00:00;null;2300;
24;"50";"Fachlehrer/-in an Sonderschulen";1900-01-01T00:00;null;2400;
25;"51";"Religionslehrer/-in, Geistliche/-r, Katechet/-in";1900-01-01T00:00;null;2500;
26;"52";"Fachlehrer/-in mit der Befähigung für die Laufbahn des Werkstattlehrers";1900-01-01T00:00;null;2600;
27;"53";"Fachlehrer/-in";1900-01-01T00:00;null;2700;
28;"54";"Fachlehrer/-in für Kurzschrift und Maschinenschreiben";1900-01-01T00:00;null;2800;
29;"55";"Fachlehrer/-in mit der Befähigung für die Laufbahn des technischen Lehrers an beruflichen Schulen";1900-01-01T00:00;null;2900;
30;"56";"Schulkindergärtner/-in";1900-01-01T00:00;null;3000;
31;"57";"ohne sonderpädagogische Zusatzausbildung: Sozialarbeiter/-in, Sozialpädagoge/-in";1900-01-01T00:00;null;3100;
32;"58";"ohne sonderpädagogische Zusatzausbildung: Erzieher/-in.";1900-01-01T00:00;null;3200;
33;"59";"ohne sonderpädagogische Zusatzausbildung: Sonstige pädagogische Unterrichtshilfe";1900-01-01T00:00;null;3300;
34;"60";"mit sonderpädagogischer Zusatzausbildung: Sozialarbeiter/-in, Sozialpädagoge/-in";1900-01-01T00:00;null;3400;
35;"61";"mit sonderpädagogischer Zusatzausbildung: Erzieher/-in.";1900-01-01T00:00;null;3500;
36;"62";"mit sonderpädagogischer Zusatzausbildung: Sonstige pädagogische Unterrichtshilfe";1900-01-01T00:00;null;3600;
37;"96";"Lehrer, der eine Qualifikation erworben hat, die der 1. Staatsprüfung entspricht (z.B. Diplom, sofern nicht Schlüssel 98)";1900-01-01T00:00;null;3700;
38;"97";"Lehrer, der außerhalb des Geltungsbereichs des Grundgesetzes seine Qualifikation erworben hat";1900-01-01T00:00;null;3800;
39;"98";"Lehramtsanwärter/-in / Studienreferendar/-in";1900-01-01T00:00;null;3900;
40;"99";"Sonstige (Gymnastik-, Werk-, Hauswirtschaftslehrer/-in, Übungsleiter/-in)";1900-01-01T00:00;null;4000;
41;"70";"Schulverwaltungsassistent/-in";1900-01-01T00:00;null;4100;
42;"04";"Grundschule";2011-08-01T00:00;null;4200;
43;"17";"Haupt-, Real- und  Gesamtschule";2011-08-01T00:00;null;4300;
44;"08";"Sonderpädagogische Förderung";2011-08-01T00:00;null;4400;
