ID;Kurztext;Langtext;Beginn;Ende;Sort;geaendert
102;"A";"Arabisch";2019-08-01T00:00;null;null;
88;"AE";"Ästhetische Erziehung";null;null;null;
87;"AR";"Alevitische Religionslehre nach den Grundsätzen des AABF";null;null;null;
103;"BN";"Braille´sche Punktschrift";2019-08-01T00:00;null;null;
106;"DF";"Design/Fotografie";2019-08-01T00:00;null;null;
112;"DG";"Deutsche Gebärdensprache";2022-04-01T00:00;null;null;
104;"DS";"Darstellen und Gestalten";2019-08-01T00:00;null;null;
89;"DZ";"Deutsch für Schülerinnen und Schüler mit Zuwanderungsgeschichte";null;null;null;
105;"EL";"Hauswirtschaft (Konsum/Ernährung/Gesundheit)";2019-08-01T00:00;null;null;
107;"GW";"Gesellschaftswissenschaften";2019-08-01T00:00;null;null;
93;"IL";"Islamische Religionslehre";1900-01-01T00:00;null;null;
95;"MB";"Religionslehre der mennonitischen Brüdergemeinden in NRW (Lehrerlaubnis)";null;null;null;
90;"MG";"Mathematische Grundbildung";null;null;null;
108;"MJ";"Malerei/Grafik/Gestaltung";2019-08-01T00:00;null;null;
91;"NG";"Natur- und Gesellschaftswissenschaften";null;null;null;
100;"NM";"Niederländisch (Herkunftssprache)";null;null;null;
109;"NW";"Naturwissenschaften";2019-08-01T00:00;null;null;
97;"QM";"Farsi (Herkunftssprache)";null;null;null;
94;"SB";"Sprachliche Grundbildung";1900-01-01T00:00;null;null;
110;"SI";"Sozialwesen";2019-08-01T00:00;null;null;
101;"UM";"Rumänisch (Herkunftssprache)";null;null;null;
96;"VM";"Bulgarisch (Herkunftssprache)";null;null;null;
98;"YM";"Koreanisch (Herkunftssprache)";null;null;null;
111;"ZB";"Zusatzqualifikation Bilinguales Lernen";2019-08-01T00:00;null;null;
99;"ZM";"Kurdische Sprachen (Herkunftssprache) (Sorani, Komanci, Zaza)";null;null;null;
41;"LM";"Albanisch (Herkunftssprache)";1900-01-01T00:00;null;100;
3;"AM";"Arabisch (Herkunftssprache)";1900-01-01T00:00;null;200;
2;"AL";"Arbeitslehre";1900-01-01T00:00;null;300;
1;"AH";"Arbeitslehre / Schwerpunkt Hauswirtschaft";1900-01-01T00:00;null;400;
4;"AT";"Arbeitslehre / Schwerpunkt Technik";1900-01-01T00:00;null;500;
5;"AW";"Arbeitslehre / Schwerpunkt Wirtschaft";1900-01-01T00:00;null;600;
6;"BE";"Betreuung";1900-01-01T00:00;null;700;
7;"BI";"Biologie";1900-01-01T00:00;null;800;
8;"BM";"Bosnisch (Herkunftssprache)";1900-01-01T00:00;null;900;
10;"CH";"Chemie";1900-01-01T00:00;null;1000;
9;"C";"Chinesisch";1900-01-01T00:00;null;1100;
12;"D";"Deutsch";1900-01-01T00:00;null;1200;
13;"E";"Englisch";1900-01-01T00:00;null;1300;
14;"EK";"Erdkunde/Geographie";1900-01-01T00:00;null;1400;
16;"ER";"Evangelische Religionslehre";1900-01-01T00:00;null;1500;
18;"FP";"Fachpraxis";1900-01-01T00:00;null;1600;
17;"F";"Französisch";1900-01-01T00:00;null;1700;
24;"GU";"Gesamtunterricht";1900-01-01T00:00;null;1800;
20;"GE";"Geschichte";1900-01-01T00:00;null;1900;
22;"GP";"Geschichte / Politische Bildung";1900-01-01T00:00;null;2000;
19;"G";"Griechisch";1900-01-01T00:00;null;2100;
21;"GM";"Neugriechisch (Herkunftssprache)";1900-01-01T00:00;null;2200;
51;"OR";"Orthodoxe Religionslehre";1900-01-01T00:00;null;2300;
26;"HA";"Hauswirtschaft";1900-01-01T00:00;null;2400;
