Datum;Tabelle
"01.02.2013 14:57:40";"Bilingual"
"01.02.2016 11:16:26";"ZulFächer"
"01.02.2016 11:38:58";"Gliederung"
"01.02.2016 11:54:32";"Fachklasse"
"01.02.2018 15:28:35";"Fachklasse"
"01.03.2016 13:54:30";"Abgangsart"
"01.03.2018 14:03:15";"AndereGrundschulen"
"01.04.2009 09:32:38";"Abgangsart"
"01.04.2009 09:33:05";"Abgangsart"
"01.04.2009 09:33:13";"Abgangsart"
"01.04.2009 09:33:41";"Abgangsart"
"01.04.2009 09:36:04";"Abgangsart"
"01.04.2009 09:36:18";"Abgangsart"
"01.04.2009 09:36:27";"Abgangsart"
"01.04.2009 09:36:41";"Abgangsart"
"01.04.2009 10:37:43";"Herkunftsart"
"01.04.2009 10:37:48";"Herkunftsart"
"01.04.2009 10:37:58";"Herkunftsart"
"01.04.2009 10:38:25";"Herkunftsart"
"01.04.2009 10:38:32";"Herkunftsart"
"01.04.2009 10:38:50";"Herkunftsart"
"01.04.2009 10:40:56";"ZulKuArt"
"01.04.2009 10:41:17";"ZulKuArt"
"01.04.2009 10:42:40";"ZulKuArt"
"01.04.2009 11:44:34";"Abgangsart"
"01.04.2014 15:11:00";"ZulJahrgänge"
"01.04.2015 11:29:05";"ZulJahrgänge"
"01.04.2022 14:47:15";"ZulKuArt"
"01.06.2012 06:38:22";"ZulJahrgänge_Kurzbez"
"01.06.2012 09:20:11";"ZulKuArt"
"01.06.2012 11:55:21";"Abgangsart"
"01.06.2015 13:45:05";"LehrerAnrechnung"
"01.07.2011 09:10:41";"Gliederung"
"01.07.2011 10:57:18";"Fachklasse"
"01.07.2011 17:10:12";"Herkunftsschulform"
"01.07.2016 15:19:44";"ZulFächer"
"01.07.2016 15:21:20";"ZulJahrgänge_Kurzbez"
"01.08.2011 10:13:47";"Fachklasse"
"01.09.2014 11:37:13";"Gliederung"
"01.09.2016 15:28:54";"Herkunftsart"
"01.09.2022 16:27:27";"ZulFächer"
"01.10.2013 08:33:33";"Abgangsart"
"01.10.2019 09:49:37";"Fachklasse"
"01.12.2011 08:10:21";"ZulFächer"
"01.12.2014 15:18:42";"Fachklasse"
"02.01.2017 16:49:50";"Fachklasse"
"02.01.2017 17:19:56";"ZulFächer"
"02.02.2009 13:37:01";"Abgangsart"
"02.02.2009 13:41:44";"Abgangsart"
"02.02.2009 13:42:56";"Abgangsart"
"02.02.2009 13:43:09";"Abgangsart"
"02.02.2017 15:57:54";"LehrerLehrbefaehigung"
"02.03.2016 13:54:01";"Abgangsart"
"02.03.2020 16:00:06";"Fachklasse"
"02.04.2009 14:22:16";"Organisationsform"
"02.04.2009 14:22:19";"Organisationsform"
"02.04.2009 14:22:22";"Organisationsform"
"02.04.2009 14:22:25";"Organisationsform"
"02.04.2009 14:22:27";"Organisationsform"
"02.04.2009 14:22:30";"Organisationsform"
"02.04.2009 14:22:46";"Organisationsform"
"02.04.2009 14:25:32";"Organisationsform"
"02.04.2009 14:25:37";"Organisationsform"
"02.04.2009 14:25:42";"Organisationsform"
"02.04.2009 14:25:47";"Organisationsform"
"02.04.2009 14:25:51";"Organisationsform"
"02.04.2009 14:25:55";"Organisationsform"
"02.04.2009 14:26:00";"Organisationsform"
"02.04.2009 14:26:08";"Organisationsform"
"02.04.2009 14:26:15";"Organisationsform"
"02.04.2009 14:26:19";"Organisationsform"
"02.04.2009 14:26:25";"Organisationsform"
"02.04.2009 14:26:39";"Organisationsform"
"02.04.2009 14:26:51";"Organisationsform"
"02.04.2009 14:26:58";"Organisationsform"
"02.04.2009 14:27:17";"Organisationsform"
"02.04.2009 14:27:29";"Organisationsform"
"02.04.2009 14:27:42";"Organisationsform"
"02.04.2009 14:27:53";"Organisationsform"
"02.04.2009 14:31:22";"Organisationsform"
"02.04.2009 14:31:40";"Organisationsform"
"02.04.2015 10:22:32";"Abgangsart"
"02.04.2020 21:53:16";"Fachklasse"
"02.05.2017 15:10:40";"Abgangsart"
"02.05.2018 10:19:30";"ZulJahrgänge"
"02.05.2018 13:39:34";"Gliederung"
"02.05.2018 16:56:40";"Abgangsart"
"02.06.2010 12:04:46";"ZulKuArt"
"02.06.2014 12:03:32";"ZulKuArt"
"02.06.2016 08:34:11";"ZulFächer"
"02.06.2016 14:52:47";"LehrerMehrleistung"
"02.06.2016 14:53:16";"LehrerMinderleistung"
"02.06.2022 11:54:36";"Gliederung"
"02.07.2010 11:02:18";"ZulFächer"
"02.09.2020 14:11:30";"Fachklasse"
"02.10.2008 09:34:42";"ZulKuArt"
"02.10.2008 09:37:42";"ZulKuArt"
"02.10.2008 09:37:42";"ZulKuArt"
"02.10.2008 09:37:42";"ZulKuArt"
"02.10.2008 09:37:42";"ZulKuArt"
"02.10.2008 09:37:50";"ZulKuArt"
"02.10.2008 09:37:52";"ZulKuArt"
"02.10.2008 09:37:54";"ZulKuArt"
"02.10.2008 09:37:58";"ZulKuArt"
"02.10.2008 09:38:00";"ZulKuArt"
"02.10.2008 09:38:03";"ZulKuArt"
"02.10.2008 09:38:06";"ZulKuArt"
"02.10.2008 09:40:15";"ZulKuArt"
"02.10.2008 09:43:50";"ZulKuArt"
"02.10.2008 10:53:41";"ZulFächer"
"02.10.2008 10:53:41";"ZulFächer"
"02.10.2008 10:53:41";"ZulFächer"
"02.10.2008 10:53:41";"ZulFächer"
"02.10.2008 10:53:52";"ZulFächer"
"02.10.2008 10:53:55";"ZulFächer"
"02.10.2008 10:53:59";"ZulFächer"
"02.10.2008 10:54:04";"ZulFächer"
"02.10.2008 10:54:06";"ZulFächer"
"02.10.2008 10:54:08";"ZulFächer"
"02.10.2008 10:54:10";"ZulFächer"
"02.10.2008 10:54:27";"ZulFächer"
"02.12.2016 08:49:59";"Fachklasse"
"03.01.2017 16:41:55";"Fachklasse"
"03.02.2009 09:21:31";"Abgangsart"
"03.02.2009 09:22:22";"Abgangsart"
"03.02.2009 09:24:32";"Bereiche_BK"
"03.02.2009 09:24:45";"Bereiche_BK"
"03.02.2009 09:24:52";"Bereiche_BK"
"03.02.2009 09:26:02";"Abgangsart"
"03.02.2009 09:54:12";"Abgangsart"
"03.02.2009 09:54:55";"Abgangsart"
"03.02.2009 09:55:06";"Abgangsart"
"03.02.2009 09:56:08";"Abgangsart"
"03.02.2009 10:01:10";"Abgangsart"
"03.02.2009 10:01:26";"Abgangsart"
"03.02.2009 10:01:54";"Abgangsart"
"03.02.2009 10:02:39";"Abgangsart"
"03.02.2009 10:05:06";"Abgangsart"
"03.02.2009 10:05:37";"Abgangsart"
"03.02.2009 10:05:58";"Abgangsart"
"03.02.2009 10:06:56";"Abgangsart"
"03.02.2009 10:12:07";"Abgangsart"
"03.02.2009 10:12:57";"Abgangsart"
"03.02.2009 10:13:31";"Abgangsart"
"03.02.2009 10:15:07";"Abgangsart"
"03.02.2009 10:17:18";"Abgangsart"
"03.02.2009 10:17:55";"Abgangsart"
"03.02.2009 10:18:10";"Abgangsart"
"03.02.2009 10:18:31";"Abgangsart"
"03.02.2009 10:19:00";"Abgangsart"
"03.02.2009 10:19:23";"Abgangsart"
"03.02.2009 10:21:30";"Abgangsart"
"03.02.2009 10:23:27";"Abgangsart"
"03.02.2009 10:24:15";"Abgangsart"
"03.02.2009 10:24:54";"Abgangsart"
"03.02.2009 10:25:46";"Abgangsart"
"03.02.2009 10:25:54";"Abgangsart"
"03.02.2009 10:26:21";"Abgangsart"
"03.02.2009 10:26:52";"Abgangsart"
"03.02.2009 10:27:32";"Abgangsart"
"03.02.2009 10:27:55";"Abgangsart"
"03.02.2009 10:28:38";"Abgangsart"
"03.02.2009 10:28:50";"Abgangsart"
"03.02.2009 10:28:59";"Abgangsart"
"03.02.2009 10:30:39";"Abgangsart"
"03.02.2009 10:31:00";"Abgangsart"
"03.02.2009 10:31:49";"Abgangsart"
"03.02.2009 10:32:35";"Abgangsart"
"03.02.2009 10:33:10";"Abgangsart"
"03.02.2009 10:36:12";"Abgangsart"
"03.02.2009 10:37:03";"Abgangsart"
"03.02.2009 10:37:28";"Abgangsart"
"03.02.2009 10:37:58";"Abgangsart"
"03.02.2009 10:38:27";"Abgangsart"
"03.02.2009 10:39:03";"Abgangsart"
"03.02.2009 10:39:20";"Abgangsart"
"03.02.2009 10:40:33";"Abgangsart"
"03.02.2009 10:41:30";"Abgangsart"
"03.02.2009 10:42:56";"Abgangsart"
"03.02.2009 10:43:14";"Abgangsart"
"03.02.2009 10:43:51";"Abgangsart"
"03.02.2009 10:44:29";"Abgangsart"
"03.02.2009 10:45:03";"Abgangsart"
"03.02.2009 10:46:51";"Abgangsart"
"03.02.2009 10:47:29";"Abgangsart"
"03.02.2009 10:48:28";"Abgangsart"
"03.02.2009 10:53:31";"Abgangsart"
"03.02.2009 10:53:49";"Abgangsart"
"03.02.2009 10:55:47";"Abgangsart"
"03.02.2009 10:56:24";"Abgangsart"
"03.02.2009 10:56:47";"Abgangsart"
"03.02.2009 10:57:08";"Abgangsart"
"03.02.2009 10:57:38";"Abgangsart"
"03.02.2009 10:57:54";"Abgangsart"
"03.02.2009 10:58:20";"Abgangsart"
"03.02.2009 10:58:41";"Abgangsart"
"03.02.2009 10:59:46";"Abgangsart"
"03.02.2009 11:00:04";"Abgangsart"
"03.02.2009 11:00:56";"Abgangsart"
"03.02.2009 11:02:13";"Abgangsart"
"03.02.2009 11:02:25";"Abgangsart"
"03.02.2009 11:02:59";"Abgangsart"
"03.02.2009 11:03:12";"Abgangsart"
"03.02.2009 11:03:58";"Abgangsart"
"03.02.2009 11:05:35";"Abgangsart"
"03.02.2009 11:25:36";"Abgangsart"
"03.02.2009 11:26:18";"Abgangsart"
"03.02.2009 11:26:56";"Abgangsart"
"03.02.2009 11:33:26";"Abgangsart"
"03.02.2009 11:34:11";"Abgangsart"
"03.02.2009 11:34:11";"Abgangsart"
"03.02.2009 11:34:12";"Abgangsart"
"03.02.2009 11:34:12";"Abgangsart"
"03.02.2009 11:34:12";"Abgangsart"
