Schluessel;Klartext;Flag;geaendert
null;"deutsch";"1";
"121";"albanisch";"1";
"122";"bosnisch-herzegowinisch ";"1";
"123";"andorranisch";"1";
"124";"belgisch";"1";
"125";"bulgarisch";"1";
"126";"dänisch";"1";
"127";"estnisch ";"1";
"128";"finnisch";"1";
"129";"französisch";"1";
"130";"kroatisch ";"1";
"131";"slowenisch ";"1";
"134";"griechisch";"1";
"135";"irisch";"1";
"136";"isländisch";"1";
"137";"italienisch";"1";
"139";"lettisch ";"1";
"140";"montenegrinisch";"1";
"141";"liechtensteinisch";"1";
"142";"litauisch";"1";
"143";"luxemburgisch";"1";
"144";"mazedonisch";"1";
"145";"maltesisch";"1";
"146";"moldauisch";"1";
"147";"monegassisch";"1";
"148";"niederländisch";"1";
"149";"norwegisch";"1";
"150";"kosovarisch";"1";
"151";"österreichisch";"1";
"152";"polnisch";"1";
"153";"portugiesisch";"1";
"154";"rumänisch";"1";
"155";"slowakisch";"1";
"156";"san-marinesisch";"1";
"157";"schwedisch";"1";
"158";"schweizerisch";"1";
"160";"russisch";"1";
"161";"spanisch";"1";
"163";"türkisch";"1";
"164";"tschechisch";"1";
"165";"ungarisch";"1";
"166";"ukrainisch";"1";
"167";"vatikanisch";"1";
"168";"britisch";"1";
"169";"weißrussisch (belarussisch)";"1";
"170";"serbisch";"1";
"181";"zyprisch";"1";
"185";"britisch (Überseegebiete)";"1";
"199";"sonst. europ. Staatsangeh.";"1";
"221";"algerisch";"1";
"223";"angolanisch";"1";
"224";"eritreisch";"1";
"225";"äthiopisch";"1";
"226";"lesothisch";"1";
"227";"botsuanisch";"1";
"229";"beninisch";"1";
"230";"dschibutisch";"1";
"231";"ivorisch";"1";
"232";"nigerianisch";"1";
"233";"simbabwisch";"1";
"236";"gabunisch";"1";
"237";"gambisch";"1";
"238";"ghanaisch";"1";
"239";"mauretanisch";"1";
"242";"cabo-verdisch";"1";
"243";"kenianisch";"1";
"244";"komorisch";"1";
"245";"kongolesisch (Kongo)";"1";
"246";"kongolesisch (Kongo, Demokratische Republik)";"1";
"247";"liberianisch";"1";
"248";"libysch";"1";
"249";"madagassisch";"1";
"251";"malisch";"1";
"252";"marokkanisch";"1";
"253";"mauritisch";"1";
"254";"mosambikanisch";"1";
"255";"nigrisch";"1";
"256";"malawisch";"1";
"257";"sambisch";"1";
"258";"burkinisch";"1";
"259";"guinea-bissauisch";"1";
"261";"guineisch";"1";
"262";"kamerunisch";"1";
"263";"südafrikanisch";"1";
"265";"ruandisch";"1";
"267";"namibisch";"1";
"268";"sâo-toméisch";"1";
"269";"senegalesisch";"1";
"271";"seychellisch";"1";
"272";"sierra-leonisch";"1";
"273";"somalisch";"1";
"274";"äquatorialguineisch";"1";
"277";"sudanesisch";"1";
"278";"südsudanesisch";"1";
"281";"eswatinisch";"1";
"282";"tansanisch";"1";
"283";"togoisch";"1";
"284";"tschadisch";"1";
"285";"tunesisch";"1";
"286";"ugandisch";"1";
"287";"ägyptisch";"1";
"289";"zentralafrikanisch";"1";
"291";"burundisch";"1";
"299";"sonst. afrik. Staatsangeh.";"1";
"320";"antiguanisch";"1";
"322";"barbadisch";"1";
"323";"argentinisch";"1";
"324";"bahamaisch";"1";
"326";"bolivianisch";"1";
"327";"brasilianisch";"1";
"328";"guyanisch";"1";
"330";"belizisch";"1";
"332";"chilenisch";"1";
"333";"dominicanisch (Dominica)";"1";
"334";"costa-ricanisch";"1";
"335";"dominikanisch (Dominikanische Republik)";"1";
"336";"ecuadorianisch";"1";
"337";"salvadorianisch";"1";
"340";"grenadisch";"1";
"345";"guatemaltekisch";"1";
"346";"haitianisch";"1";
"347";"honduranisch";"1";
"348";"kanadisch";"1";
"349";"kolumbianisch";"1";
"351";"kubanisch";"1";
"353";"mexikanisch";"1";
"354";"nicaraguanisch";"1";
"355";"jamaikanisch";"1";
"357";"panamaisch";"1";
"359";"paraguayisch";"1";
"361";"peruanisch";"1";
"364";"surinamisch";"1";
"365";"uruguayisch";"1";
"366";"lucianisch";"1";
"367";"venezolanisch";"1";
"368";"amerikanisch";"1";
"369";"vincentisch";"1";
"370";"von St. Kitts und Nevis";"1";
"371";"von Trinidad und Tobago";"1";
"399";"sonst, amerik. Staatsangeh.";"1";
"411";"chinesisch (Hongkong)";"1";
"412";"chinesisch (Macau)";"1";
"421";"jemenitisch";"1";
"422";"armenisch";"1";
"423";"afghanisch";"1";
"424";"bahrainisch";"1";
"425";"aserbaidschanisch";"1";
"426";"bhutanisch";"1";
"427";"myanmarisch";"1";
"429";"bruneiisch";"1";
"430";"georgisch";"1";
"431";"sri-lankisch";"1";
"432";"vietnamesisch";"1";
"434";"koreanisch (Korea, Volksrepublik)";"1";
"436";"indisch";"1";
"437";"indonesisch";"1";
"438";"irakisch";"1";
"439";"iranisch";"1";
"441";"israelisch";"1";
"442";"japanisch";"1";
"444";"kasachisch";"1";
"445";"jordanisch";"1";
"446";"kambodschanisch";"1";
"447";"katarisch";"1";
"448";"kuwaitisch";"1";
"449";"laotisch";"1";
"450";"kirgisisch";"1";
"451";"libanesisch";"1";
"454";"maledivisch";"1";
"456";"omanisch";"1";
"457";"mongolisch";"1";
"458";"nepalesisch";"1";
"459";"ohne Bezeichnung (nur palästinensische Gebiete)";"1";
"460";"bangladeschisch";"1";
"461";"pakistanisch";"1";
"462";"philippinisch";"1";
"465";"taiwanisch";"1";
"467";"koreanisch (Korea, Republik)";"1";
"469";"der Vereinigten Arabischen Emirate";"1";
"470";"tadschikisch";"1";
"471";"turkmenisch";"1";
"472";"saudi-arabisch";"1";
"474";"singapurisch";"1";
"475";"syrisch";"1";
"476";"thailändisch";"1";
"477";"usbekisch";"1";
"479";"chinesisch";"1";
"482";"malaysisch";"1";
"483";"von Timor-Leste";"1";
"499";"sonst, asiat. Staatsangeh.";"1";
"523";"australisch";"1";
"524";"salomonisch";"1";
"526";"fidschianisch";"1";
"530";"kiribatisch";"1";
"531";"nauruisch";"1";
"532";"vanuatuisch";"1";
"536";"neuseeländisch (auch Niue und Cookinseln)";"1";
"537";"palauisch";"1";
"538";"papua-neuguineisch";"1";
"540";"tuvaluisch";"1";
"541";"tongaisch";"1";
"543";"samoanisch";"1";
"544";"marshallisch";"1";
"545";"mikronesisch";"1";
"599";"sonst. ozean. Staatsangeh.";"1";
"997";"staatenlos";"1";
"998";"ungeklärt";"1";
"999";"ohne Angabe";"1";
