ID;Kurztext;Langtext;Gesprochen in;Beginn;Ende;geaendert
2;"aa";"Afar";"Äthiopien, Eritrea, Dschibuti";1900-01-01T00:00;null;
1;"ab";"Abchasisch";"Georgien, Türkei";1900-01-01T00:00;null;
3;"af";"Afrikaans";"Südafrika";1900-01-01T00:00;null;
4;"ak";"Akan";"Ghana, Elfenbeinküste";1900-01-01T00:00;null;
6;"am";"Amharisch";"Äthiopien und angrenzende Länder";1900-01-01T00:00;null;
9;"an";"Aragonesisch";"Spanien";1900-01-01T00:00;null;
8;"ar";"Arabisch";"Ägypten, Algerien, Bahrain, Dschibuti, Eritrea, Irak, Israel,Jemen, Jordanien, Komoren, Katar, Kuwait, Libanon, Libyen, Marokko, Mauretanien, Oman, Palästinensische Autonomiegebiete, Saudi-Arabien, Somalia, Sudan, Syrien, Tschad, Tunesien...";1900-01-01T00:00;null;
12;"as";"Assamesisch/Assami";"Indien";1900-01-01T00:00;null;
13;"av";"Awarisch";"Dagestan, Aserbaidschan und übriger Kaukasus,  Türkei ";1900-01-01T00:00;null;
14;"ay";"Aymara";"Bolivien, Peru, Chile";1900-01-01T00:00;null;
11;"az";"Aserbaidschanisch";"Aserbaidschan und übriger Kaukasus, Iran, Türkei, Irak, Syrien";1900-01-01T00:00;null;
17;"ba";"Baschkirisch";"Russland, Kasachstan, Usbekistan";1900-01-01T00:00;null;
171;"be";"Belarussisch (Weißrussisch)";"Weißrussland, Russland, Ukraine, Polen (in der Umgebung von Bialystok), Lettland, Litauen, Kasachstan, USA";1900-01-01T00:00;null;
25;"bg";"Bulgarisch";"Bulgarien, Ukraine, Moldawien, Griechenland, Rumänien, Mazedonien, Weißrussland, Türkei";1900-01-01T00:00;null;
20;"bh";"Bihari";"Indien ";1900-01-01T00:00;null;
22;"bi";"Bislama";"Vanuatu";1900-01-01T00:00;null;
15;"bm";"Bambara";"Mali, Burkina Faso, Elfenbeinküste,  Gambia, Guinea, Mauretanien, Senegal ";1900-01-01T00:00;null;
19;"bn";"Bengali";"Indien, Bangladesch,  Malawi, Nepal, Saudi-Arabien, Singapur, die VAE, Großbritannien, USA ";1900-01-01T00:00;null;
152;"bo";"Tibetisch";"der chinesischen Provinz Tibet und in mehreren Provinzen der Volksrepublik China, in Nepal, Indien und Bhutan (Exil-Tibeter)";1900-01-01T00:00;null;
24;"br";"Bretonisch";"Frankreich";1900-01-01T00:00;null;
23;"bs";"Bosnisch";"Bosnien und Herzegowina, Serbien und Montenegro, Kroatien, USA, Westeuropa";1900-01-01T00:00;null;
16;"by";"Banyumasan";"Indonesien (westliches Zentaljava) ";1900-01-01T00:00;null;
72;"ca";"Katalanisch";"Spanien, Andorra, Italien, Frankreich";1900-01-01T00:00;null;
156;"ce";"Tschetschenisch";"Russland (Republik Tschetschenien)";1900-01-01T00:00;null;
26;"ch";"Chamorro";"Guam, Nördliche Marianen";1900-01-01T00:00;null;
82;"co";"Korsisch";"Korsika";1900-01-01T00:00;null;
