KlArt;FSP;Bezeichnung;Schulform;geaendert
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"FW";
"DF";"EZ";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"FW";
"DF";"GB";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"FW";
"DF";"KR";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"FW";
"DF";"LB";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"FW";
"RK";"**";"Regelklasse";"FW";
"RK";"EZ";"Regelklasse";"FW";
"RK";"GB";"Regelklasse";"FW";
"RK";"KR";"Regelklasse";"FW";
"RK";"LB";"Regelklasse";"FW";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"G";
"RK";"**";"Regelklasse";"G";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"GE";
"PK";"**";"Profilklasse (gemäß § 21 Abs. 3 APO-S I) (nur Bildungsgang GY9)";"GE";
"RK";"**";"Regelklasse";"GE";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"GY";
"PK";"**";"Profilklasse (gemäß § 21 Abs. 3 APO-S I)";"GY";
"RK";"**";"Regelklasse";"GY";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"H";
"RK";"**";"Regelklasse";"H";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"PS";
"RK";"**";"Regelklasse";"PS";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"R";
"RK";"**";"Regelklasse";"R";
"AM";"**";"Frühförderung: SKG (Ambulante Maßnahmen für blinde, gehörlose, sehbeh. und schwerh. Kinder)";"S";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"S";
"PG";"**";"Frühförderung: SKG (Präsenzgruppe)";"S";
"RK";"**";"Regelklasse";"S";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"SG";
"RK";"**";"Regelklasse  (-Jahrgang SII)";"SG";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"SK";
"PK";"**";"Profilklasse (gemäß § 21 Abs. 3 APO-S I) (nur Bildungsgang GY)";"SK";
"RK";"**";"Regelklasse";"SK";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"SR";
"RK";"**";"Regelklasse";"SR";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung, BASS 13-63 Nr. 3)";"V";
"RK";"**";"Regelklasse";"V";
"DF";"**";"Deutschförderung (ohne Bildungsgangzuordnung)";"WB";
"RK";"**";"Regelklasse";"WB";
