ID;PLZ;REGSCHL;ORT;ORTSTEIL;STAND
9159;"32049";"05758012";"Herford";"Falkendiek";
9161;"32049";"05758012";"Herford";"Innenstadt";
9165;"32049";"05758012";"Herford";"Schwarzenmoor";
9156;"32051";"05758012";"Herford";"Diebrock";
9157;"32051";"05758012";"Herford";"Eickum";
9160;"32051";"05758012";"Herford";"Herringhausen";
9162;"32051";"05758012";"Herford";"Innenstadt";
9164;"32051";"05758012";"Herford";"Laar";
9167;"32051";"05758012";"Herford";"Stedefreund";
9158;"32052";"05758012";"Herford";"Elverdissen";
9163;"32052";"05758012";"Herford";"Innenstadt";
9166;"32052";"05758012";"Herford";"Schwarzenmoor";
6946;"32105";"05766008";"Bad Salzuflen";"Bad Salzuflen";
6935;"32105";"05766008";"Bad Salzuflen";"Innenstadt";
6929;"32107";"05766008";"Bad Salzuflen";"Biemsen-Ahmsen";
6931;"32107";"05766008";"Bad Salzuflen";"Grastrup-Hölsen";
6933;"32107";"05766008";"Bad Salzuflen";"Holzhausen";
6936;"32107";"05766008";"Bad Salzuflen";"Innenstadt";
6938;"32107";"05766008";"Bad Salzuflen";"Lockhausen";
6941;"32107";"05766008";"Bad Salzuflen";"Schötmar";
6943;"32107";"05766008";"Bad Salzuflen";"Werl-Aspe";
6944;"32107";"05766008";"Bad Salzuflen";"Wülfer-Bexten";
6930;"32108";"05766008";"Bad Salzuflen";"Ehrsen-Breden";
6932;"32108";"05766008";"Bad Salzuflen";"Grastrup-Hölsen";
6934;"32108";"05766008";"Bad Salzuflen";"Holzhausen";
6937;"32108";"05766008";"Bad Salzuflen";"Innenstadt";
6939;"32108";"05766008";"Bad Salzuflen";"Papenhausen";
6940;"32108";"05766008";"Bad Salzuflen";"Retzen";
6942;"32108";"05766008";"Bad Salzuflen";"Schötmar";
6945;"32108";"05766008";"Bad Salzuflen";"Wüsten";
9226;"32120";"05758016";"Hiddenhausen";"Eilshausen";
9227;"32120";"05758016";"Hiddenhausen";"Hiddenhausen";
9228;"32120";"05758016";"Hiddenhausen";"Lippinghausen";
9229;"32120";"05758016";"Hiddenhausen";"Oetinghausen";
9230;"32120";"05758016";"Hiddenhausen";"Schweicheln-Bermbeck";
9231;"32120";"05758016";"Hiddenhausen";"Sundern";
8180;"32130";"05758008";"Enger";"Belke-Steinbeck";
8181;"32130";"05758008";"Enger";"Besenkamp";
8182;"32130";"05758008";"Enger";"Dreyen";
8183;"32130";"05758008";"Enger";"Enger";
8184;"32130";"05758008";"Enger";"Herringhausen";
8185;"32130";"05758008";"Enger";"Oldinghausen";
8186;"32130";"05758008";"Enger";"Pödinghausen";
8187;"32130";"05758008";"Enger";"Siele";
8188;"32130";"05758008";"Enger";"Westerenger";
12399;"32139";"05758032";"Spenge";"Bardüttingdorf";
12400;"32139";"05758032";"Spenge";"Hücker-Aschen";
12401;"32139";"05758032";"Spenge";"Lenzinghausen";
12402;"32139";"05758032";"Spenge";"Spenge";
12403;"32139";"05758032";"Spenge";"Wallenbrück";
