ID;PLZ;REGSCHL;ORT;STAND;Sortierung;ART
135033;"32049";"05758012";"Herford";;null;6
135034;"32051";"05758012";"Herford";;null;6
135035;"32052";"05758012";"Herford";;null;6
135069;"32105";"05766008";"Bad Salzuflen";;null;6
135070;"32107";"05766008";"Bad Salzuflen";;null;6
135071;"32108";"05766008";"Bad Salzuflen";;null;6
135077;"32120";"05758016";"Hiddenhausen";;null;6
135082;"32130";"05758008";"Enger";;null;6
135087;"32139";"05758032";"Spenge";;null;6
135111;"32257";"05758004";"Bünde";;null;6
135117;"32278";"05758020";"Kirchlengern";;null;6
135123;"32289";"05758028";"Rödinghausen";;null;6
135131;"32312";"05770020";"Lübbecke";;null;6
135139;"32339";"05770008";"Espelkamp";;null;6
135143;"32351";"05770044";"Stemwede";;null;6
135146;"32361";"05770036";"Preußisch Oldendorf";;null;6
135150;"32369";"05770040";"Rahden";;null;6
135184;"32423";"05770024";"Minden";;null;6
135185;"32425";"05770024";"Minden";;null;6
135186;"32427";"05770024";"Minden";;null;6
135187;"32429";"05770024";"Minden";;null;6
135197;"32457";"05770032";"Porta Westfalica";;null;6
135202;"32469";"05770028";"Petershagen";;null;6
135206;"32479";"05770012";"Hille";;null;6
135229;"32545";"05770004";"Bad Oeynhausen";;null;6
135230;"32547";"05770004";"Bad Oeynhausen";;null;6
135231;"32549";"05770004";"Bad Oeynhausen";;null;6
135243;"32584";"05758024";"Löhne";;null;6
135251;"32602";"05758036";"Vlotho";;null;6
135255;"32609";"05770016";"Hüllhorst";;null;6
135269;"32657";"05766044";"Lemgo";;null;6
135270;"32676";"05766052";"Lügde";;null;6
135274;"32683";"05766012";"Barntrup";;null;6
135277;"32689";"05766036";"Kalletal";;null;6
135280;"32694";"05766024";"Dörentrup";;null;6
135283;"32699";"05766028";"Extertal";;null;6
135320;"32756";"05766020";"Detmold";;null;6
135321;"32758";"05766020";"Detmold";;null;6
135322;"32760";"05766020";"Detmold";;null;6
135323;"32791";"05766040";"Lage";;null;6
135327;"32805";"05766032";"Horn-Bad Meinberg";;null;6
