ID;Kurztext;Langtext;Beginn;Ende;Sort;geaendert
1;"V";"Vollzeit";1900-01-01T00:00;null;100;
2;"T";"Teilzeit";1900-01-01T00:00;null;200;
3;"AT";"Altersteilzeit (Beschäftigungsphase)";1900-01-01T00:00;null;300;
4;"TA";"Altersteilzeit, vorm. teilzeitbeschäftigt (Verzichtsphase Altersermäßigung)";1900-01-01T00:00;null;400;
5;"VA";"Altersteilzeit, vorm. vollzeitbeschäftigt (Verzichtsphase Altersermäßigung)";1900-01-01T00:00;null;500;
6;"TS";"Teilzeitbeschäftigung im Blockmodell (§ 65 LBG) (Sabbatjahr)";1900-01-01T00:00;null;600;
8;"SB";"Nebenberufliche Beschäftigung";1900-01-01T00:00;null;800;
9;"GB";"Geringfügige Beschäftigung";1900-01-01T00:00;null;900;
11;"ST";"Studierende";1900-01-01T00:00;null;1000;
12;"NA";"Beamte, nebenamtlich (nicht hauptamtlich im Schuldienst)";1900-01-01T00:00;null;1100;
13;"G";"Gestellungsvertrag";1900-01-01T00:00;null;1200;
15;"X";"Unentgeltlich Beschäftigte";1900-01-01T00:00;null;1400;
16;"WT";"Beamte auf Widerruf (LAA) in Teilzeit";1990-01-01T00:00;null;1500;
17;"WV";"Beamte auf Widerruf (LAA) in Vollzeit";1990-01-01T00:00;null;1600;
