ID;Kurztext;Langtext;Beginn;Ende;Sort;geaendert
1;"200";"Pflichtstundenermäßigung aus Altersgründen";1900-01-01T00:00;null;200;
2;"210";"Pflichtstundenermäßigung wegen Schwerbehinderung (Regelanrechnung)";1900-01-01T00:00;null;210;
3;"220";"Pflichtstundenermäßigung wegen Schwerbehinderung (Erhöhung auf Antrag)";1900-01-01T00:00;null;220;
4;"230";"Beurlaubung (auch Elternzeit), Rückkehr im Laufe des Schuljahres";1900-01-01T00:00;null;230;
5;"240";"Langfristige Erkrankung";1900-01-01T00:00;null;240;
6;"250";"Abwesend wegen Beschäftigungsverbot gem. § 3 MuSchG";1900-01-01T00:00;null;250;
22;"255";"Abwesend wegen Teilbeschäftigungsverbot gem. § 3 MuSchG";1900-01-01T00:00;null;255;
7;"260";"Wiedereingliederungsmaßnahme";1900-01-01T00:00;null;260;
8;"270";"Rückgabe vorgeleisteter Stunden wegen Nichtinanspruchnahme von Altersteilzeit";1900-01-01T00:00;null;270;
15;"275";"Rückgabe der Vorgriffsstunden";2008-08-01T00:00;null;275;
9;"280";"Seiteneinsteigerentlastung";1900-01-01T00:00;"31.07.2010";280;
10;"290";"Ermäßigungs-/Freistellungsphase 'Teilzeitbeschäftigung im Blockmodell' (§ 65 LBG) (vormals Sabbatjahr)";1900-01-01T00:00;null;290;
11;"300";"Sonstige Ermäßigungen aus besonderen persönlichen Gründen";1900-01-01T00:00;null;300;
12;"350";"Abrundung der Pflichtstundenzahl aufgrund von § 2 Abs. 1 AVO-RL";1900-01-01T00:00;null;350;
13;"360";"Unterschreitung der Pflichtstundenzahl aus organisatorischen Gründen (z. B. Epochenunterricht)";1900-01-01T00:00;null;360;
23;"365";"Unterschreitung der Pflichtstundenzahl wegen COVID-19";1900-01-01T00:00;null;365;
14;"370";"Unterschreitung der Pflichtstundenzahl wegen Pflichstunden-Bandbreite";1900-01-01T00:00;null;370;
21;"380";"Fortbildung: Nachträglicher Erwerb des sonderpädagogischen Lehramtes";2012-08-01T00:00;null;380;
