Schulform;Fach;Bezeichnung;Fachkuerzel;Kurzbezeichnung;AbJahrgang;IstFremdsprache;IstHKFS;IstAusRegUFach;IstErsatzPflichtFS;IstKonfKoop;NurSII;ExportASD
"BK";"A";"Arabisch";null;null;null;0;0;0;0;0;0;0
"BK";"AB";"Arbeits- und Betriebswirtschaftslehre";null;null;null;0;0;0;0;0;0;0
"BK";"AG";"Neigungs- und Projektgruppen";null;null;null;0;0;0;0;0;0;0
"BK";"AV";"Arbeitsvorbereitung";null;null;null;0;0;0;0;0;0;0
"BK";"BA";"Berufs- und Arbeitspädagogik";null;null;null;0;0;0;0;0;0;0
"BK";"BF";"Bürowirtschaft";null;null;null;0;0;0;0;0;0;0
"BK";"BG";"Betrieb und Gesellschaft/Politik";null;null;null;0;0;0;0;0;0;0
"BK";"BI";"Biologie";null;null;null;0;0;0;0;0;0;0
"BK";"BK";"Betriebsinformatik";null;null;null;0;0;0;0;0;0;0
"BK";"BP";"Betriebspraxis";null;null;null;0;0;0;0;0;0;0
"BK";"BR";"Betriebslehre";null;null;null;0;0;0;0;0;0;0
"BK";"BS";"Betriebssoziologie / Arbeitsrecht";null;null;null;0;0;0;0;0;0;0
"BK";"BW";"Betriebswirtschaftslehre";null;null;null;0;0;0;0;0;0;0
"BK";"BY";"Betriebssysteme / Netzwerke";null;null;null;0;0;0;0;0;0;0
"BK";"C";"Chinesisch";null;null;null;0;0;0;0;0;0;0
"BK";"CH";"Chemie";null;null;null;0;0;0;0;0;0;0
"BK";"D";"Deutsch";null;null;null;0;0;0;0;0;0;0
"BK";"DB";"Datenbanken";null;null;null;0;0;0;0;0;0;0
"BK";"DM";"Didaktik u. Methodik der soz.päd. Praxis mit Übungen";null;null;null;0;0;0;0;0;0;0
"BK";"DV";"Datenverarbeitung";null;null;null;0;0;0;0;0;0;0
"BK";"E";"Englisch";null;null;null;0;0;0;0;0;0;0
"BK";"EK";"Erdkunde";null;null;null;0;0;0;0;0;0;0
"BK";"EL";"Ernährungs- und Nahrungsmittellehre";null;null;null;0;0;0;0;0;0;0
"BK";"EN";"Evangelische Religionslehre (konfessionell kooperativ)";null;null;null;0;0;0;0;0;0;0
"BK";"ER";"Evangelische Religionslehre";null;null;null;0;0;0;0;0;0;0
"BK";"F";"Französisch";null;null;null;0;0;0;0;0;0;0
"BK";"FB";"Fächer des berufsbezogenen Bereichs";null;null;null;0;0;0;0;0;0;0
"BK";"FK";"Fremdsprachliche Kommunikation";null;null;null;0;0;0;0;0;0;0
"BK";"FP";"Fachpraxis";null;null;null;0;0;0;0;0;0;0
"BK";"FU";"Förderunterricht";null;null;null;0;0;0;0;0;0;0
"BK";"GA";"Geräte- und Maschinenlehre";null;null;null;0;0;0;0;0;0;0
"BK";"GB";"Grundbildung";null;null;null;0;0;0;0;0;0;0
"BK";"GE";"Geschichte";null;null;null;0;0;0;0;0;0;0
"BK";"GL";"Gesellschaftslehre";null;null;null;0;0;0;0;0;0;0
"BK";"GS";"Gestaltungslehre";null;null;null;0;0;0;0;0;0;0
"BK";"HR";"Jüdische Religionslehre";null;null;null;0;0;0;0;0;0;0
"BK";"HU";"Hausunterricht";null;null;null;0;0;0;0;0;0;0
"BK";"HY";"Hygiene";null;null;null;0;0;0;0;0;0;0
"BK";"I";"Italienisch";null;null;null;0;0;0;0;0;0;0
"BK";"IF";"Informatik";null;null;null;0;0;0;0;0;0;0
"BK";"IL";"Islamische Religionslehre";null;null;null;0;0;0;0;0;0;0
"BK";"K";"Japanisch";null;null;null;0;0;0;0;0;0;0
"BK";"KN";"Katholische Religionslehre (konfessionell kooperativ)";null;null;null;0;0;0;0;0;0;0
"BK";"KO";"Kommunikation";null;null;null;0;0;0;0;0;0;0
"BK";"KR";"Katholische Religionslehre";null;null;null;0;0;0;0;0;0;0
"BK";"KS";"Kurzschrift";null;null;null;0;0;0;0;0;0;0
"BK";"KU";"Kunsterziehung";null;null;null;0;0;0;0;0;0;0
"BK";"L";"Latein";null;null;null;0;0;0;0;0;0;0
"BK";"LI";"Literatur";null;null;null;0;0;0;0;0;0;0
"BK";"M";"Mathematik";null;null;null;0;0;0;0;0;0;0
"BK";"MD";"Medienerziehung";null;null;null;0;0;0;0;0;0;0
"BK";"ME";"Mechanik";null;null;null;0;0;0;0;0;0;0
"BK";"MP";"Meß- und Prüftechnik";null;null;null;0;0;0;0;0;0;0
"BK";"MU";"Musik";null;null;null;0;0;0;0;0;0;0
"BK";"MW";"Methodik des wissenschaftl. orientierten Arbeitens";null;null;null;0;0;0;0;0;0;0
"BK";"N";"Niederländisch";null;null;null;0;0;0;0;0;0;0
"BK";"NM";"Unterricht in der Herkunftssprache - Niederländisch";null;null;null;0;0;0;0;0;0;0
"BK";"NW";"Naturwissenschaften";null;null;null;0;0;0;0;0;0;0
"BK";"OL";"Organisationslehre/Büroorganisation";null;null;null;0;0;0;0;0;0;0
"BK";"OR";"Orthodoxe Religionslehre";null;null;null;0;0;0;0;0;0;0
"BK";"PA";"Pädagogik";null;null;null;0;0;0;0;0;0;0
"BK";"PH";"Physik";null;null;null;0;0;0;0;0;0;0
"BK";"PK";"Politik";null;null;null;0;0;0;0;0;0;0
"BK";"PL";"Philosophie";null;null;null;0;0;0;0;0;0;0
"BK";"PP";"Praktische Philosophie";null;null;null;0;0;0;0;0;0;0
"BK";"PS";"Psychologie";null;null;null;0;0;0;0;0;0;0
"BK";"PU";"Fachübergreifender Unterricht";null;null;null;0;0;0;0;0;0;0
"BK";"PW";"Personalwirtschaft und Soziologie/Politik";null;null;null;0;0;0;0;0;0;0
"BK";"QM";"Unterricht in der Herkunftssprache - Farsi";null;null;null;0;0;0;0;0;0;0
"BK";"R";"Russisch";null;null;null;0;0;0;0;0;0;0
"BK";"RE";"Rechnungswesen";null;null;null;0;0;0;0;0;0;0
"BK";"RW";"Recht und Verwaltung";null;null;null;0;0;0;0;0;0;0
"BK";"S";"Spanisch";null;null;null;0;0;0;0;0;0;0
"BK";"SE";"Softwareentwicklung und -engineering";null;null;null;0;0;0;0;0;0;0
"BK";"SG";"sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf";null;null;null;0;0;0;0;0;0;0
"BK";"SI";"Spiel";null;null;null;0;0;0;0;0;0;0
"BK";"SL";"Soziologie";null;null;null;0;0;0;0;0;0;0
"BK";"SP";"Sport";null;null;null;0;0;0;0;0;0;0
"BK";"SR";"Sonstige Sprachen";null;null;null;0;0;0;0;0;0;0
"BK";"SW";"Sozialwissenschaften";null;null;null;0;0;0;0;0;0;0
"BK";"T";"Türkisch";null;null;null;0;0;0;0;0;0;0
"BK";"TG";"Technische Grundbildung";null;null;null;0;0;0;0;0;0;0
"BK";"TI";"Technische Informatik";null;null;null;0;0;0;0;0;0;0
"BK";"TV";"Textverarbeitung";null;null;null;0;0;0;0;0;0;0
"BK";"TZ";"Technisches Zeichnen / Fachzeichnen";null;null;null;0;0;0;0;0;0;0
"BK";"UM";"Unterricht in der Herkunftssprache - Rumänisch";null;null;null;0;0;0;0;0;0;0
"BK";"VE";"Verwaltungskunde";null;null;null;0;0;0;0;0;0;0
"BK";"VK";"Verkaufskunde";null;null;null;0;0;0;0;0;0;0
"BK";"VM";"Unterricht in der Herkunftssprache - Bulgarisch";null;null;null;0;0;0;0;0;0;0
"BK";"VP";"Volkswirtschaftslehre/Politik";null;null;null;0;0;0;0;0;0;0
"BK";"VT";"Verfahrenstechnik";null;null;null;0;0;0;0;0;0;0
"BK";"VW";"Volkswirtschaftslehre";null;null;null;0;0;0;0;0;0;0
"BK";"WG";"Wirtschaftsgeographie";null;null;null;0;0;0;0;0;0;0
"BK";"WI";"Wirtschaftsinformatik/Organisationslehre";null;null;null;0;0;0;0;0;0;0
"BK";"WW";"Wirtschaftslehre";null;null;null;0;0;0;0;0;0;0
"BK";"YM";"Unterricht in der Herkunftssprache - Koreanisch";null;null;null;0;0;0;0;0;0;0
"BK";"YR";"Syrisch-orthodoxe Religionslehre";null;null;null;0;0;0;0;0;0;0
"BK";"Z";"Neugriechisch";null;null;null;0;0;0;0;0;0;0
"BK";"ZM";"Unterricht in der Herkunftssprache - Kurdische Sprachen (Sorani, Komanci, Zaza)";null;null;null;0;0;0;0;0;0;0
"BK";"ZW";"Zeichnen / Werken";null;null;null;0;0;0;0;0;0;0
"FW";"E";"Englisch";null;null;null;0;0;0;0;0;0;0
"FW";"F";"Französisch";null;null;null;0;0;0;0;0;0;0
"FW";"G";"Altgriechisch";null;null;null;0;0;0;0;0;0;0
"FW";"I";"Italienisch";null;null;null;0;0;0;0;0;0;0
"FW";"L";"Latein";null;null;null;0;0;0;0;0;0;0
"FW";"R";"Russisch";null;null;null;0;0;0;0;0;0;0
"FW";"SR";"Sonstige Fremdsprachen";null;null;null;0;0;0;0;0;0;0
"FW";"XX";"Sonstige Fächer ohne Fremdsprachen (kein Import nach ASDPC)";null;null;null;0;0;0;0;0;0;0
"G";"AM";"Unterricht in der Herkunftssprache - Arabisch";null;null;null;0;0;0;0;0;0;0
"G";"AR";"Alevitische Religionslehre nach den Grundsätzen des AABF";null;null;null;0;0;0;0;0;0;0
"G";"BM";"Unterricht in der Herkunftssprache - Bosnisch";null;null;null;0;0;0;0;0;0;0
"G";"CM";"Unterricht in der Herkunftssprache - Kroatisch";null;null;null;0;0;0;0;0;0;0
"G";"D";"Deutsch";null;null;null;0;0;0;0;0;0;0
"G";"E";"Englisch";null;null;null;0;0;0;0;0;0;0
"G";"EM";"Unterricht in der Herkunftssprache - Serbisch";null;null;null;0;0;0;0;0;0;0
"G";"EN";"Evangelische Religionslehre (konfessionell kooperativ)";null;null;null;0;0;0;0;0;0;0
"G";"ER";"Evangelische Religionslehre";null;null;null;0;0;0;0;0;0;0
"G";"FU";"Förderunterricht";null;null;null;0;0;0;0;0;0;0
"G";"GM";"Unterricht in der Herkunftssprache - Neugriechisch";null;null;null;0;0;0;0;0;0;0
"G";"HR";"Jüdische Religionslehre";null;null;null;0;0;0;0;0;0;0
"G";"HU";"Hausunterricht";null;null;null;0;0;0;0;0;0;0
"G";"IL";"Islamische Religionslehre";null;null;null;0;0;0;0;0;0;0
"G";"IM";"Unterricht in der Herkunftssprache - Italienisch";null;null;null;0;0;0;0;0;0;0
"G";"KN";"Katholische Religionslehre (konfessionell kooperativ)";null;null;null;0;0;0;0;0;0;0
"G";"KR";"Katholische Religionslehre";null;null;null;0;0;0;0;0;0;0
"G";"KU";"Kunst";null;null;null;0;0;0;0;0;0;0
"G";"LM";"Unterricht in der Herkunftssprache - Albanisch";null;null;null;0;0;0;0;0;0;0
"G";"M";"Mathematik";null;null;null;0;0;0;0;0;0;0
"G";"MB";"Religionsunterricht der mennonitischen Brüdergemeinden in NRW als Schulversuch";null;null;null;0;0;0;0;0;0;0
"G";"MM";"Unterricht in der Herkunftssprache - Mazedonisch";null;null;null;0;0;0;0;0;0;0
"G";"MU";"Musik";null;null;null;0;0;0;0;0;0;0
"G";"NM";"Unterricht in der Herkunftssprache - Niederländisch";null;null;null;0;0;0;0;0;0;0
"G";"OM";"Unterricht in der Herkunftssprache - Portugiesisch";null;null;null;0;0;0;0;0;0;0
"G";"OR";"Orthodoxe Religionslehre";null;null;null;0;0;0;0;0;0;0
"G";"PM";"Unterricht in der Herkunftssprache - Polnisch";null;null;null;0;0;0;0;0;0;0
"G";"QM";"Unterricht in der Herkunftssprache - Farsi";null;null;null;0;0;0;0;0;0;0
"G";"RM";"Unterricht in der Herkunftssprache - Russisch";null;null;null;0;0;0;0;0;0;0
"G";"S3";"Sport für Jungen";null;null;null;0;0;0;0;0;0;0
"G";"S4";"Sport für Mädchen";null;null;null;0;0;0;0;0;0;0
"G";"SG";"sonderpädag. Förderung für Schüler/-innen mit sonderpädag. Förderbedarf";null;null;null;0;0;0;0;0;0;0
"G";"SM";"Unterricht in der Herkunftssprache - Spanisch";null;null;null;0;0;0;0;0;0;0
"G";"SP";"Sport";null;null;null;0;0;0;0;0;0;0
"G";"SU";"Sachunterricht";null;null;null;0;0;0;0;0;0;0
"G";"TM";"Unterricht in der Herkunftssprache - Türkisch";null;null;null;0;0;0;0;0;0;0
"G";"UM";"Unterricht in der Herkunftssprache - Rumänisch";null;null;null;0;0;0;0;0;0;0
"G";"UU";"fächerübergreifender Unterricht (Sprache/Sachunt./Mathematik/Förderunt.)";null;null;null;0;0;0;0;0;0;0
"G";"VF";"Fächer im genehmigten Schulversuch und sonstige Fächer";null;null;null;0;0;0;0;0;0;0
"G";"VM";"Unterricht in der Herkunftssprache - Bulgarisch";null;null;null;0;0;0;0;0;0;0
"G";"XM";"Unterricht in der Herkunftssprache - sonstige Sprache";null;null;null;0;0;0;0;0;0;0
"G";"YM";"Unterricht in der Herkunftssprache - Koreanisch";null;null;null;0;0;0;0;0;0;0
"G";"YR";"orthodoxe Religionslehre (Syrisch)";null;null;null;0;0;0;0;0;0;0
"G";"ZF";"Zusätzliche Förderung";null;null;null;0;0;0;0;0;0;0
"G";"ZM";"Unterricht in der Herkunftssprache - Kurdische Sprachen (Sorani, Komanci, Zaza)";null;null;null;0;0;0;0;0;0;0
"GE";"A";"Arabisch";null;null;null;0;0;0;0;0;0;0
