Schultraegerart;Bezeichnung;Flag;geaendert
"02";"Land NRW";"1";
"03";"Kreisfreie Stadt";"1";
"04";"Kreis";"1";
"06";"Gemeinde";"1";
"08";"Schulverband";"1";
"09";"Landschaftsverband";"1";
"10";"Landwirtschaftskammer";"1";
"11";"Industrie- und Handelskammer";"1";
"12";"Handwerkskammer";"1";
"13";"Sonstiger Träger öffentlicher Schulen (z.B. Stiftung)";"1";
"31";"Natürliche Personen - Einzelperson";"1";
"32";"Natürliche Personen - Personengesellschaft (BGB-Gesellschaft, OHG)";"1";
"35";"Juristische Personen - Handelsgesellschaft (KG, GmbH, AG, Genossenschaft)";"1";
"36";"Juristische Personen - Schulverein (nicht konfessionell gebundene Einrichtung)";"1";
"37";"Juristische Personen - Wirtschaftsunternehmen als Träger einer Betriebsberufsschule";"1";
"41";"Landeskirchenamt";"1";
"42";"Kirchenkreis oder -gemeinde (ev. Kirche)";"1";
"43";"Diakonisches Werk oder Innere Mission";"1";
"44";"Handelsgesellschaft oder Verein (sonstige ev.-kirchl. Einrichtung)";"1";
"51";"Erzbistum oder Bistum";"1";
"52";"Kirchenkreis oder -gemeinde (kath. Kirche)";"1";
"53";"Orden";"1";
"54";"Caritasverband oder Kolpingwerk";"1";
"55";"Handelsgesellschaft oder Verein (sonstige kath.-kirchl. Einrichtung)";"1";
"60";"Waldorf-Schulträger als e.V.";"1";
"70";"Bundesrepublik Deutschland (als Träger der Bundeswehrschulen)";"1";
"99";"Sonstiger Träger privater Schulen";"1";
