Schulform;FSP;BG;Fach;Bezeichnung;KZ_Bereich;Flag;Sortierung;Sortierung2;geaendert
"BK";null;null;"A";"Arabisch";0;"1";1;0;
"BK";null;null;"AB";"Arbeits- und Betriebswirtschaftslehre";0;"1";1;0;
"BK";null;null;"AG";"Neigungs- und Projektgruppen";-1;"1";1;0;
"BK";null;null;"AV";"Arbeitsvorbereitung";-1;"1";1;0;
"BK";null;null;"BA";"Berufs- und Arbeitspädagogik";-1;"1";2;0;
"BK";null;null;"BF";"Bürowirtschaft";-1;"1";2;0;
"BK";null;null;"BG";"Betrieb und Gesellschaft/Politik";null;"1";2;0;
"BK";null;null;"BI";"Biologie";-1;"1";2;0;
"BK";null;null;"BP";"Betriebspraxis";-1;"1";2;0;
"BK";null;null;"BR";"Betriebslehre";-1;"1";2;0;
"BK";null;null;"BS";"Betriebssoziologie / Arbeitsrecht";-1;"1";2;0;
"BK";null;null;"BW";"Betriebswirtschaftslehre";-1;"1";2;0;
"BK";null;null;"C";"Chinesisch";0;"1";3;0;
"BK";null;null;"CH";"Chemie";-1;"1";3;0;
"BK";null;null;"D";"Deutsch";-1;"1";4;0;
"BK";null;null;"DM";"Didaktik u. Methodik der soz.päd. Praxis mit Übungen";-1;"1";4;0;
"BK";null;null;"DV";"Datenverarbeitung";0;"1";4;0;
"BK";null;null;"E";"Englisch";-1;"1";5;0;
"BK";null;null;"EK";"Erdkunde";-1;"1";5;0;
"BK";null;null;"EL";"Ernährungs- und Nahrungsmittellehre";-1;"1";5;0;
"BK";null;null;"EN";"Evangelische Religionslehre (konfessionell kooperativ)";0;"1";5;0;
"BK";null;null;"ER";"Evangelische Religionslehre";-1;"1";5;0;
"BK";null;null;"F";"Französisch";-1;"1";6;0;
"BK";null;null;"FB";"Fächer des berufsbezogenen Bereichs";null;"1";6;0;
"BK";null;null;"FK";"Fremdsprachliche Kommunikation";0;"1";6;0;
"BK";null;null;"FP";"Fachpraxis";-1;"1";6;0;
"BK";null;null;"FU";"Förderunterricht";-1;"1";6;0;
"BK";null;null;"GA";"Geräte- und Maschinenlehre";-1;"1";7;0;
"BK";null;null;"GB";"Grundbildung";0;"1";7;0;
"BK";null;null;"GE";"Geschichte";0;"1";7;0;
"BK";null;null;"GL";"Gesellschaftslehre";0;"1";7;0;
"BK";null;null;"GS";"Gestaltungslehre";-1;"1";7;0;
"BK";null;null;"HR";"Jüdische Religionslehre";null;"1";8;0;
"BK";null;null;"HU";"Hausunterricht";null;"1";8;0;
"BK";null;null;"HY";"Hygiene";-1;"1";8;0;
"BK";null;null;"I";"Italienisch";-1;"1";9;0;
"BK";null;null;"IF";"Informatik";0;"1";9;0;
"BK";null;null;"IL";"Islamische Religionslehre";0;"1";9;0;
"BK";null;null;"K";"Japanisch";0;"1";11;0;
"BK";null;null;"KN";"Katholische Religionslehre (konfessionell kooperativ)";0;"1";11;0;
"BK";null;null;"KO";"Kommunikation";null;"1";11;0;
"BK";null;null;"KR";"Katholische Religionslehre";-1;"1";11;0;
"BK";null;null;"KS";"Kurzschrift";-1;"1";11;0;
"BK";null;null;"KU";"Kunsterziehung";-1;"1";11;0;
"BK";null;null;"L";"Latein";0;"1";12;0;
"BK";null;null;"LI";"Literatur";0;"1";12;0;
"BK";null;null;"M";"Mathematik";-1;"1";13;0;
"BK";null;null;"MD";"Medienerziehung";-1;"1";13;0;
"BK";null;null;"ME";"Mechanik";-1;"1";13;0;
"BK";null;null;"MP";"Meß- und Prüftechnik";-1;"1";13;0;
"BK";null;null;"MU";"Musik";-1;"1";13;0;
"BK";null;null;"MW";"Methodik des wissenschaftl. orientierten Arbeitens";-1;"1";13;0;
"BK";null;null;"N";"Niederländisch";-1;"1";14;0;
"BK";null;null;"NM";"Unterricht in der Herkunftssprache - Niederländisch";0;"1";14;0;
"BK";null;null;"NW";"Naturwissenschaften";0;"1";14;0;
"BK";null;null;"OL";"Organisationslehre/Büroorganisation";0;"1";15;0;
"BK";null;null;"OR";"Orthodoxe Religionslehre";-1;"1";15;0;
"BK";null;null;"PA";"Pädagogik";-1;"1";16;0;
"BK";null;null;"PH";"Physik";-1;"1";16;0;
"BK";null;null;"PK";"Politik";-1;"1";16;0;
"BK";null;null;"PL";"Philosophie";-1;"1";16;0;
"BK";null;null;"PP";"Praktische Philosophie";null;"1";16;0;
"BK";null;null;"PS";"Psychologie";-1;"1";16;0;
"BK";null;null;"PU";"Fachübergreifender Unterricht";-1;"1";16;0;
