SF;FSP;BG;Kursart;Kursart2;Bezeichnung;SGLBereich;Flag;geaendert
"BK";"**";"**";"01";"SWFB";"Stützunterricht Wahlbereich - fachbezogen";1;"1";
"BK";"**";"**";"02";"SWFW";"Stützunterricht Wahlbereich - fachübergreifend";0;"3";
"BK";"**";"**";"03";"FU";"Stützunterricht Wahlbereich - Förderunterricht für ausländische u. ausgesiedelte Schüler";1;"1";
"BK";"**";"**";"10";"EWFA";"Erweiterungsunterricht Wahlbereich - fach- und abschlussbezogen";1;"1";
"BK";"**";"**";"11";"EWF";"Erweiterungsunterricht Wahlbereich - fach-, jedoch nicht abschlussbezogen";1;"1";
"BK";"**";"**";"12";"EWBF";"Erweiterungsunterricht Wahlbereich - berufsbezogen, fachübergreifend";0;"3";
"BK";"**";"**";"21";"VUW";"Vertiefungsunterricht Wahlbereich - berufsfeld- / berufsbezogener fachpraxisorientierter Kurs";0;"3";
"BK";"**";"**";"31";"NPG";"Neigungs- und Projektgruppe";1;"1";
"BK";"**";"**";"41";"EV";"Ergänzungs- oder Vertiefungskurs";2;"1";
"BK";"**";"**";"42";"SF";"Stütz- oder Förderkurs";2;"1";
"BK";"**";"**";"44";"SLP";"Selbstlernphase";2;"1";
"BK";"**";"**";"71";"AB3";"3. Abiturfach";3;"1";
"BK";"**";"**";"71";"AB4";"4. Abiturfach";3;"1";
"BK";"**";"**";"71";"EFSP";"Ersatzfach für Sport als 4. Abiturfach";3;"1";
"BK";"**";"**";"71";"GKM";"Grundkurs mündlich";3;"1";
"BK";"**";"**";"71";"GKS";"Grundkurs schriftlich";3;"1";
"BK";"**";"**";"72";"LK1";"Leistungskurs I";3;"1";
"BK";"**";"**";"72";"LK2";"Leistungskurs II";3;"1";
"BK";"**";"**";"73";"AGK";"Angleichungskurs";0;"3";
"BK";"**";"**";"76";"ZK";"Zusatzkurs";0;"3";
"BK";"**";"**";"77";"VTF";"Vertiefungskurs";0;"3";
"BK";"**";"**";"78";"PJK";"Projektkurs";0;"3";
"BK";"**";"**";"99";"PUK";"Unterricht im Klassenverband";1;"1";
"BK";"**";"**";"99";"PUK";"Unterricht im Klassenverband";2;"1";
"BK";"**";"**";"99";"PUK";"Unterricht im Klassenverband";3;"1";
"BK";"**";"**";"99";"*****";"Kein Eintrag - Standard für diese Schulform";4;"1";
"FW";"**";"**";"00";"PUT";"Pflichtunterricht sowie Unterricht im Wahlpflichtbereich";0;"1";
"FW";"**";"**";"59";"BSP";"Begegnung mit Sprachen in der Primarstufe";0;"1";
"G";"**";"**";"00";"FUT";"Förderunterricht für Teile von Klassen";0;"1";
"G";"**";"**";"00";"PUT";"Pflichtunterricht für Teile von Klassen";0;"1";
"G";"**";"**";"00";"PUT";"Pflichtunterricht für Teile von Klassen / Wahlpfl.-bereich: Unterricht in Fächern der Lernbereiche";0;"3";
"G";"**";"**";"33";"AST";"Arbeitsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"G";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"G";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"G";"**";"**";"81";"SPFU";"Sportförderunterricht";0;"1";
"G";"**";"**";"82";"LRS";"Schülerinnen und Schüler mit besonderen Schwierigkeiten im Erlernen des Lesens und Rechtschreibens (LRS)";0;"1";
"G";"**";"**";"84";"MEU";"Unterricht in der Herkunftssprache (Muttersprachlicher Unterricht)";0;"1";
"G";"**";"**";"85";"MEU";"Förderung in der deutschen Sprache außerhalb von Sprachfördermaßnahmen gemäß Erlass 13-63 Nr. 3";0;"1";
"G";"**";"**";"89";"FS";"Förderung neu zugewanderter Schüler in Deutschfördergruppen (teilweise äußere und innere Differenzierung)";0;"1";
"G";"**";"**";"90";"FS";"Förderung neu zugewanderter Schüler in Deutschförderklassen (vollständige äußere Differenzierung)";0;"1";
"G";"**";"**";"99";"FUK";"Förderunterricht im Klassenverband";0;"1";
"G";"**";"**";"99";"HU";"Hausunterricht";0;"1";
"G";"**";"**";"99";"PUK";"Unterricht im Klassenverband";0;"1";
"G";"**";"**";"99";"ZUV";"zusätzliche Unterrichtsveranstaltung (z.B. Schulchor)";0;"1";
"G";"**";"**";"99";"*****";"kein Eintrag zulässig";0;"2";
"GE";"**";"**";"00";"PUT";"Bildung kleiner Gruppen / sonstige Gruppierungen";0;"1";
"GE";"**";"**";"00";"PUT";"Bildung kleiner Gruppen / sonstige Gruppierungen";0;"2";
"GE";"**";"**";"00";"PUT";"Pflichtunterricht (Jahrgangsstufe 11)";0;"3";
"GE";"**";"**";"01";"G";"Fachleistungsebene: Grundebene/-kurs";0;"1";
"GE";"**";"**";"01";"G";"Fachleistungsebene: Grundebene/-kurs";0;"2";
"GE";"**";"**";"02";"E";"Fachleistungsebene: Erweiterungsebene/-kurs";0;"1";
"GE";"**";"**";"02";"E";"Fachleistungsebene: Erweiterungsebene/-kurs";0;"2";
"GE";"**";"**";"04";"FFU";"Fachbezogener Förderunterricht";0;"1";
"GE";"**";"**";"04";"FFU";"Fachbezogener Förderunterricht";0;"2";
"GE";"**";"**";"05";"FUF";"Fachunabhängiger Förderunterricht";0;"1";
"GE";"**";"**";"05";"FUF";"Fachunabhängiger Förderunterricht";0;"2";
"GE";"**";"**";"10";"WPI";"Wahlpflichtunterricht";0;"1";
"GE";"**";"**";"10";"WPI";"Wahlpflichtunterricht";0;"2";
"GE";"**";"**";"33";"AST";"Arbeitsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GE";"**";"**";"33";"AST";"Arbeitsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"GE";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GE";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"GE";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GE";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"GE";"**";"**";"55";"PROJ";"Profilklasse gem. § 21 Abs. 3 APO-SI";0;"1";
"GE";"**";"**";"55";"PROJ";"Profilklasse gem. § 21 Abs. 3 APO-SI";0;"2";
"GE";"**";"**";"56";"UMPF";"Unterricht in der Herkunftssprache anstelle einer Pflichtfremdsprache oder eines Wahlpflichtfaches";0;"1";
"GE";"**";"**";"56";"UMPF";"Unterricht in der Herkunftssprache anstelle einer Pflichtfremdsprache oder eines Wahlpflichtfaches";0;"2";
"GE";"**";"**";"61";"WPIG";"Wahlfplichtunterricht: 2. Fremdsprache (Bildungsgang Gymnasium)";0;"1";
"GE";"**";"**";"61";"WPIG";"Wahlfplichtunterricht: 2. Fremdsprache (Bildungsgang Gymnasium)";0;"2";
"GE";"**";"**";"62";"WP1SW";"Wahlpflichtunterricht: Fächerkombination im math.-naturwiss, gesellschaftswiss. oder künstlerischen Schwerpunkt (GY)";0;"1";
"GE";"**";"**";"62";"WP1SW";"Wahlpflichtunterricht: Fächerkombination im math.-naturwiss, gesellschaftswiss. oder künstlerischen Schwerpunkt (GY)";0;"2";
"GE";"**";"**";"63";"SPA";"Wahlpflichtunterricht: Schwerpunktübergreifende Angebote (GY)";0;"1";
"GE";"**";"**";"63";"SPA";"Wahlpflichtunterricht: Schwerpunktübergreifende Angebote (GY)";0;"2";
"GE";"**";"**";"64";"F3";"Nur Bildungsgang Gymnasium: Einzelfach im math.-naturwiss., techn., gesellschaftswiss,künstlerischen Schwerpunkt";0;"1";
"GE";"**";"**";"64";"F3";"Nur Bildungsgang Gymnasium: Einzelfach im math.-naturwiss., techn., gesellschaftswiss,künstlerischen Schwerpunkt";0;"2";
"GE";"**";"**";"65";"FS3";"Wahlpflichtunterricht der Klassen 08 und 09: 3. Fremdsprache (Bildungsgang Gymnasium)";0;"1";
"GE";"**";"**";"65";"FS3";"Wahlpflichtunterricht der Klassen 08 und 09: 3. Fremdsprache (Bildungsgang Gymnasium)";0;"2";
"GE";"**";"**";"67";"WPU";"Nur Bildungsgang Gymnasium: Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI";0;"1";
"GE";"**";"**";"67";"WPU";"Nur Bildungsgang Gymnasium: Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI";0;"2";
"GE";"**";"**";"71";"AB3";"3. Abiturfach";0;"1";
"GE";"**";"**";"71";"AB4";"4. Abiturfach";0;"1";
"GE";"**";"**";"71";"EFSP";"Ersatzfach für Sport als 4. Abiturfach";0;"1";
"GE";"**";"**";"71";"GKM";"Grundkurs mündlich";0;"1";
"GE";"**";"**";"71";"GKS";"Grundkurs schriftlich";0;"1";
"GE";"**";"**";"71";"AB3";"3. Abiturfach";0;"2";
"GE";"**";"**";"71";"AB4";"4. Abiturfach";0;"2";
"GE";"**";"**";"71";"EFSP";"Ersatzfach für Sport als 4. Abiturfach";0;"2";
"GE";"**";"**";"71";"GKM";"Grundkurs mündlich";0;"2";
"GE";"**";"**";"71";"GKS";"Grundkurs schriftlich";0;"2";
"GE";"**";"**";"72";"LK1";"Leistungskurs I";0;"1";
"GE";"**";"**";"72";"LK2";"Leistungskurs II";0;"1";
"GE";"**";"**";"72";"LK1";"Leistungskurs I";0;"2";
"GE";"**";"**";"72";"LK2";"Leistungskurs II";0;"2";
"GE";"**";"**";"76";"ZK";"Zusatzkurs gem. § 12 APO-GOSt";0;"1";
"GE";"**";"**";"76";"ZK";"Zusatzkurs gem. § 12 APO-GOSt";0;"2";
"GE";"**";"**";"77";"VTF";"Vertiefungsfach";0;"1";
"GE";"**";"**";"77";"VTF";"Vertiefungsfach";0;"2";
"GE";"**";"**";"78";"PJK";"Projektkurs";0;"1";
"GE";"**";"**";"78";"PJK";"Projektkurs";0;"2";
"GE";"**";"**";"81";"SPFU";"Sportförderunterricht";0;"1";
"GE";"**";"**";"81";"SPFU";"Sportförderunterricht";0;"2";
"GE";"**";"**";"82";"LRS";"Schülerinnen und Schüler mit besonderen Schwierigkeiten im Erlernen des Lesens und Rechtschreibens (LRS)";0;"1";
"GE";"**";"**";"82";"LRS";"Schülerinnen und Schüler mit besonderen Schwierigkeiten im Erlernen des Lesens und Rechtschreibens (LRS)";0;"2";
"GE";"**";"**";"84";"MEU";"Unterricht in der Herkunftssprache (Muttersprachlicher Unterricht)";0;"1";
"GE";"**";"**";"84";"MEU";"Unterricht in der Herkunftssprache (Muttersprachlicher Unterricht)";0;"2";
"GE";"**";"**";"85";"MEU";"Förderung in der deutschen Sprache außerhalb von Sprachfördermaßnahmen gemäß Erlass 13-63 Nr. 3";0;"1";
"GE";"**";"**";"85";"MEU";"Förderung in der deutschen Sprache außerhalb von Sprachfördermaßnahmen gemäß Erlass 13-63 Nr. 3";0;"2";
"GE";"**";"**";"89";"FS";"Förderung neu zugewanderter Schüler in Deutschfördergruppen (teilweise äußere und innere Differenzierung)";0;"1";
"GE";"**";"**";"89";"FS";"Förderung neu zugewanderter Schüler in Deutschfördergruppen (teilweise äußere und innere Differenzierung)";0;"2";
"GE";"**";"**";"90";"FS";"Förderung neu zugewanderter Schüler in Deutschförderklassen (vollständige äußere Differenzierung)";0;"1";
"GE";"**";"**";"90";"FS";"Förderung neu zugewanderter Schüler in Deutschförderklassen (vollständige äußere Differenzierung)";0;"2";
"GE";"**";"**";"91";"TAL";"Unterricht im Rahmen des Schulversuchs Talentschule";0;"1";
"GE";"**";"**";"91";"TAL";"Unterricht im Rahmen des Schulversuchs Talentschule";0;"2";
"GE";"**";"**";"94";"BUS";"Unterricht im Rahmen der Initiative 'Kein Abschluss ohne Anschluss' einschl. 'Schule trifft Arbeitswelt'";0;"1";
"GE";"**";"**";"94";"BUS";"Unterricht im Rahmen der Initiative 'Kein Abschluss ohne Anschluss' einschl. 'Schule trifft Arbeitswelt'";0;"2";
"GE";"**";"**";"95";"KMFÖ";"Zusätzlicher Förderunterricht im Rahmen der Initiative 'Komm mit'";0;"1";
"GE";"**";"**";"95";"KMFÖ";"Zusätzlicher Förderunterricht im Rahmen der Initiative 'Komm mit'";0;"2";
